"21","certain information","Unspecified"
"36","recent orders","Transactional data"
"36","personally identifiable information (including name, e-mail, password, communications and personalized advertising preferences, address book, and 1-Click settings); payment settings (including credit card information and promotional certificate and gift card balances); e-mail notification settings (including Product Availability Alerts, Delivers, and newsletters); Recommendations (including Recommended for You and Improve Your Recommendations); shopping lists and gift registries (including Wish Lists and Baby and Wedding Registries); Seller accounts; and Your Profile (including your product Reviews, Recommendations, Listmania lists, Reminders, personal profile, and Wish List).","User account data"
"36","Recommendations (including Recommended for You and Improve Your Recommendations);","Other"
"2","Which","Unspecified"
"9","similar data","Unspecified"
"19","about your account","User account data"
"19","d your interactions with Amazon.com","Other"
"19","information","Unspecified"
"19","he list of which will change as our Web site evolves.","Unspecified"
"21","certain informatio","Unspecified"
"36","include up-to-date information regarding recent orders","Transactional data"
"36","personally identifiable information (including name, e-mail, password, communications and personalized advertising preferences, address book, and 1-Click settings)","User account data"
"36","e-mail notification settings (including Product Availability Alerts, Delivers, and newsletters);","Other data about user"
"36","Recommendations (including Recommended for You and Improve Your Recommendations)","Profile data"
"19","access to a broad range of information about your account and your interactions with Amazon.com","Unspecified"
"21","certain information","Unspecified"
"36","include up-to-date information regarding recent orders; personally identifiable information (including name, e-mail, password, communications and personalized advertising preferences, address book, and 1-Click settings); payment settings (including credit card information and promotional certificate and gift card balances); e-mail notification settings","User account data"
"36","Recommendations (including Recommended for You and Improve Your Recommendations); shopping lists and gift registries (including Wish Lists and Baby and Wedding Registries); Seller accounts; and Your Profile (including your product Reviews, Recommendations, Listmania lists, Reminders, personal profile, and Wish List)","Profile data"
