"38","personal information","Other"
"43","Personal Profile","Profile data"
"43","or any other tidbits we have about you","User account data"
"43","or any other tidbits we have about you","Other"
"44","changes to your paid Fool newsletter subscriptions","User account data"
"44","email address","User account data"
"2","How can you deactivate your account","Unspecified"
"2","information","Unspecified"
"38","your personal information","User account data"
"41","We'll remove your name from our lists as soon as we can.","User account data"
"43","information in your Personal Profile","User account data"
"43","information in your Personal Profile","User account data"
"43","or any other tidbits we have about you,","Unspecified"
"43","or any other tidbits we have about you,","Unspecified"
"43","Either you will be able to make your changes right there, or we will give you instructions.","Unspecified"
"44","o your paid Fool newsletter subscriptions or free trials,","User account data"
"44","your email address","User account data"
"43","Either you will be able to make your changes right there, or we will give you instructions","Unspecified"
"44","email address","User account data"
