"29","his or her PIN and/or e-mail preferences by clicking on the Manage Account link after signing in.","User account data"
"29","may review and change his or her PIN and/or e-mail preferences","User account data"
"3","your PIN","Unspecified"
"3","your preferences","User account data"
"29","PIN","Unspecified"
"29","e-mail preferences","User account data"
"39","personally identifiable information that MediaNews has collected from your child,","User account data"
"40","in such information,","User account data"
"41","this information","User account data"
"42","such information about your child","User account data"
