"70","clicking ""Account"" on the homepage to sign in to your Site account with your User ID to change, update or deactivate your Personal Information.","User account data"
"70","clicking ""Account"" on the homepage to sign in to your Site account with your User ID to change, update or deactivate your Personal Information.","User account data"
"70","clicking ""Account"" on the homepage to sign in to your Site account with your User ID to change, update or deactivate your Personal Information.","User account data"
"70","""Account"" on the homepage to sign in to your Site account with your User ID to change, update or deactivate your Personal Information. However, Personal Information that is necessary to check eligibility, such as date of birth or age, cannot be deleted, but may be modified with sufficient verification of the correct information. We will allow you to change the password portion of your User ID, as well as certain other Information you have given us in order to keep your information current, but once you select a user name you will not be able to change that user name provided to us during registration and which is associated with your User ID.","User account data"
"71","""Privacy""","Other"
"73","If the burden or expense of providing access to your Information is disproportionate to the risks to your privacy or if the legitimate rights of others would be violated, we may decide not to provide access to such Information. In such cases, we will provide to you an explanation of why access cannot be provided and contact information for further inquiries","User account data"
"73","access to your Information","Unspecified"
"30","account","User account data"
"30","your preferences","User account data"
"70","certain Information","Unspecified"
"70","Personal Information that is necessary to check eligibility, such as date of birth or age","User account data"
"70","user name","User account data"
"72","Certain Information collected for certain entries into Promotions","Other data about user"
"73","Information","Unspecified"
"75","access to the account","User account data"
