"5","Your Options","Unspecified"
"5","Your Options","Unspecified"
"27","To manage and correct any factual inaccuracies in the information we have on file about you,","Profile data"
"27","To manage and correct any factual inaccuracies in the information we have on file about you,","Unspecified"
"27","the information we have on file about you","Profile data"
"36","you can request a list of the personal information we have shared with third parties for their marketing purposes. We will also give you a list of the third parties that have received your information. You can make a request one time each year. To exercise your rights, you can contact us by email at online@notmc.com or as set forth in the Contact Us section below.","Unspecified"
"36","personal information we have shared with third parties","Profile data"
"36","We will also give you a list of the third parties that have received your information.","Other"
"38","delete the child's information from our records.","Profile data"
"38","provided NOTMC with personally identifiable information through our Online Services","User account data"
