"42","you may access your personal information in your registration profile for review and may change any information, as necessary, except for your name.","Edit information"
"42","you may access your personal information in your registration profile for review","View"
"42","may change","Edit information"
"47","You will be able to edit or delete","Edit information"
"47","edit","Edit information"
"49","This is a summary of your account with us. By clicking this button, you can view and/or edit your personal information at any time by clicking the ""Edit/Update"" button. You may also change your Communication Preferences.","Edit information"
"49","view","View"
"49","edit","Edit information"
"50","edit","Edit information"
"54","Note that you can also change or update your information by clicking on ""Change"" button off the EasyPay home page.","Edit information"
"54","change or update","Edit information"
"42","you may access your personal information in your registration profile for review","View"
"42","may change any information, as necessary, except for your name","Edit information"
"47","You will be able to edit","Edit information"
"49","By clicking this button, you can view","View"
"49","/or edit","Edit information"
"50","You may make changes to this information at any time by selecting the edit button in the ""My Profile"" folder","Edit information"
"54","you can also change or update your information by clicking on ""Change"" button off the EasyPay home page.","Edit information"
"57","Note that you can also change or update your information by clicking on ""Change"" button off the EasyPay home page.","Edit information"
