"8","Any parent or guardian of a child under 13 years of age who may have provided personally-identifiable information to us may request a description of the personally-identifiable information that has been collected from or about that child","Edit information"
"8","either limit or restrict any further maintenance or use of such information from that child and/or direct us to delete it.","Other"
"23","access","View"
"23","update","Edit information"
"23","delete","Delete account (partial)"
"23","update","Edit information"
"23","access","View"
"23","You may access, update or delete your personally-identifiable information, and/or modify your account preferences for the Services, by accessing the ""My Account"" area of the Services or by contacting us at privacy@taylorswift.com.","Edit information"
"23","Please note that when you delete your account, we may retain your account information for a reasonable period of time for the purpose of internal account management and fraud prevention.","Delete account (partial)"
"23","You may access","View"
"23","update","Edit information"
"23","delete","Delete account (partial)"
"24","If you no longer wish to receive our announcements by e-mail, you may unsubscribe from receiving them at any time by choosing the ""Unsubscribe"" link at the bottom of our e-mails, or by writing to us at privacy@taylorswift.com. If you e-mail us to change your contact preferences, we will implement your requested changes within a reasonable period of time. Please note that your requested changes will not be effective until we implement such changes.","Edit information"
