"56","review","View"
"56","correct","Edit information"
"58","orrect or update","Edit information"
"59","deactivate","Deactivate account"
"60","close","Deactivate account"
"56","correct","Edit information"
"56","delete","Delete account (partial)"
"56","some of our sites and services give you the ability to view and","View"
"57","To view","View"
"57","change","Edit information"
"58","You may correct or update","Edit information"
"59","You may deactivate your profile","Deactivate account"
"60","You may close your account","Delete account (full)"
"63","To access, change, or remove","Other"
"56","review, correct, or delete","Edit information"
"57","To view and change","Edit information"
"58","correct or update","Edit information"
"59","deactivate your profile","Deactivate account"
"60","close your account","Unspecified"
"62","change","Edit information"
"63","To access, change, or remove","Edit information"
"92","amend","Edit information"
"92","receive","View"
"93","you will not be able to access,update or delete","None"
"93","You will also not be able to access, update or delete that information","None"
