"36","change","Edit information"
"37","correct","Edit information"
"37","correct","Edit information"
"37","request deletion","Other"
"39","cancel your membership","Other"
"40","cancel your membership","Other"
"40","personally identifiable information deleted","Other"
"42","access","Other"
"42","access","Other"
"47","An individual who seeks access, or who seeks to correct, amend, or delete inaccurate data should direct his or her query to the relevant lynda.com client (the data controller).","Other"
"72","The individual may contact us at support@lynda.com to request that we remove this information from our database.","Other"
"10","Updating or correcting","Edit information"
"10","Canceling your account","Deactivate account"
"10","or deleting your","Delete account (partial)"
"10","Updating or correcting","Edit information"
"10","Canceling your account","Deactivate account"
"36","You may change any","Edit information"
"37","You may also access","View"
"37","request deletion","Delete account (full)"
"37","and correct","Edit information"
"37","You may also access","View"
"37","and correct","Edit information"
"38","You may ask to have the information on yours or your childs account deleted or removed and request that we no longer have contact with your child","Delete account (partial)"
"38","We encourage you to promptly update","Edit information"
"38","you cannot delete information","None"
"39","would like to cancel your membership","Deactivate account"
"40","to cancel your membership","Delete account (full)"
"40","To have any personally identifiable information deleted","Delete account (partial)"
"41","If you wish to cancel","Deactivate account"
"41","request that we no longer use","Other"
"42","You can access","Unspecified"
"42","you can access","Unspecified"
"42","you can access","Unspecified"
"42","you can access","Unspecified"
"43","you can unsubscribe","Edit information"
"43","and update","Edit information"
"47","who seeks access","View"
"47","or who seeks to correct, amend","Edit information"
"47","or delete inaccurate","Delete account (partial)"
"47","client makes a request to us to remove the data,","Other"
"65","the right to request and receive from us","View"
"36","change","Edit information"
"37","access, request deletion, and correct","Edit information"
"38","You may ask to have the information on yours or your childs account deleted or removed and request that we no longer have contact with your child; however, because we keep track of past transactions for as long as is reasonably necessary, you cannot delete information associated with past transactions on this Website","Delete account (partial)"
"39","cancel your membership","Unspecified"
"40","information deleted","Edit information"
"42","access","Unspecified"
"42","access","Unspecified"
"43","update","Edit information"
