"2","collects information from our users at several different points on our Web site.","Collect on website"
"3","During registration a user is required to give","Collect on website"
"3","During registration a user is required to give","Collect on website"
"3","During registration a user is required to give","Collect on website"
"4","We request information from the user on our order form.","Unspecified"
"4","We request information from the user on our order form.","Unspecified"
"5","and/or third parties","Receive from other service/third-party (unnamed)"
"5","we collect","Unspecified"
"5","we collect","Unspecified"
"5","and/or third parties","Receive from other service/third-party (unnamed)"
"6","We use","Unspecified"
"7","We use cookies","Unspecified"
"13","We employ a software technology called clear gifs (a.k.a. Web Beacons/Web Bugs), that help us better manage content on our site by informing us what content is effective","Collect on website"
"15","we use clear gifs in our HTML-based emails","Other"
"17","we ask for","Other"
"29","our site requests information from users","Collect on website"
"29","our site requests information from users","Collect on website"
"29","our site requests information from users","Collect on website"
"30","we ask them for the friend's name and email address","Other"
"34","it is necessary for us to supplement the information we receive with information from 3rd party sources","Receive from other service/third-party (unnamed)"
"2","RedOrbit, Inc. collects information from our users at several different points on our Web site.","Collect on website"
"3","During registration a user is required to give","Collect on website"
"3","We use this information","Collect on website"
"3","It is optional for the user to provide","Collect on website"
"3","It is optional for the user to provide","Collect on website"
"4","We request information","Collect on website"
"4","A user must provide","Collect on website"
"4","A user must provide","Collect on website"
"5","We store information that we collect through cookies, log files, clear gifs,","Collect on website"
"5","We store information that we collect through cookies, log files, clear gifs,","Collect on website"
"5","This profile","Collect on website"
"5","This profile","Collect on website"
"5","and/or third parties","Receive from other service/third-party (unnamed)"
"5","and/or third parties","Receive from other service/third-party (unnamed)"
"6","We use both session ID cookies [and] persistent cookies","Collect on website"
"7","We use","Collect on website"
"7","By setting a cookie","Collect on website"
"7","By setting a cookie","Collect on website"
"7","The only drawback to this is that the user will be limited in some areas of our site. F","Collect on website"
"7","We use","Collect on website"
"9","The ads appearing on this Web site are delivered to users by our ad serving software. Information about users' visit to this site, such as number of times they have viewed an ad (but not user name, address, or other personal information), is used to serve ads to users on this site.","Collect on website"
"12","Like most standard Web site servers we use log files.","Collect on website"
"12","Like most standard Web site servers we use log files.","Collect on website"
"12","Like most standard Web site servers we use log files.","Collect on website"
"12","We use a tracking utility called ClickTracks","Receive from other service/third-party (named)"
"13","We employ a software technology called clear gifs (a.k.a. Web Beacons/Web Bugs), that help us better manage content on our site by informing us what content is effective.","Collect on website"
"15","In addition, we use clear gifs in our HTML-based emails","Other"
"17","we ask for","Collect on website"
"18","On rare occasions it is necessary to send out a strictly service related announcement. For instance, if our service is temporarily suspended for maintenance we might send users an email.","Collect on website"
"29","The requested","Collect on website"
"29","The requested","Collect on website"
"29","The requested","Collect on website"
"29","The requested","Collect on website"
"30","we ask them for","Collect on website"
"3","registration form","Collect on website"
"4","our order form","Collect on website"
"4","our order form","Collect on website"
"5","We store information that we collect","Collect on website"
"5","We store information that we collect","Collect on website"
"6","We use","Collect on website"
"7","We use","Collect on website"
"12","we use log files","Collect on website"
"12","we use log files","Collect on website"
"12","we use log files","Collect on website"
"12","we use log files","Collect on website"
"13","We employ a software technology","Collect on website"
"15","we use","Collect on website"
"17","we ask for","Collect on website"
"29","our site requests","Collect on website"
"30","we ask them","Collect on website"
