"6","For example, we may collect and maintain personally identifiable information about you when you register for or participate in contests, sweepstakes, promotions, polls, surveys, newsletters and text messages (including contests, sweepstakes, promotions, polls, surveys, newsletters and text messages of certain third parties).","Collect on website"
"6","when you post an ad, submit comments to the Site or letters to the editor, submit events for inclusion on our Site,","Collect on website"
"6","collects and maintains","Unspecified"
"8","automatically collected whenever you visit our site","Collect on website"
"8","automatically collected whenever you visit our site","Collect on website"
"8","automatically collected whenever you visit our site","Collect on website"
"8","whenever you visit our site.","Collect on website"
"8","whenever you visit our site.","Collect on website"
"8","whenever you visit our site.","Collect on website"
"10","We collect and maintain IP addresses to administer and analyze our Site","Collect on website"
"10","We collect and maintain IP addresses to administer and analyze our Site","Collect on website"
"11","We may associate your IP address with your personally identifiable information and may maintain, use and disclose such information in accordance with the terms of this Privacy Policy below.","Other"
"12","track individual site usage","Collect on website"
"12","This Site uses ""cookies.""","Collect on website"
"12","This Site uses ""cookies.""","Collect on website"
"13","We do not and cannot use cookies or IP address tracking to retrieve personally identifiable information from your computer.","Collect on website"
"13","We do not and cannot use cookies or IP address tracking to retrieve personally identifiable information from your computer.","Other"
"17","The Site uses web beacons to gather automatic information such as the duration of a visit to the Site, the web pages viewed, a user's geographical information (e.g., city, state, zip code), IP address, and type of web browser.","Collect on website"
"17","The Site uses web beacons to gather automatic information such as the duration of a visit to the Site, the web pages viewed, a user's geographical information (e.g., city, state, zip code), IP address, and type of web browser.","Collect on website"
"17","The Site uses web beacons to gather automatic information such as the duration of a visit to the Site, the web pages viewed, a user's geographical information (e.g., city, state, zip code), IP address, and type of web browser.","Collect on website"
"17","The Site uses web beacons to gather automatic information such as the duration of a visit to the Site, the web pages viewed, a user's geographical information (e.g., city, state, zip code), IP address, and type of web browser.","Collect on website"
"17","Web Beacons: The Site uses web beacons, which provide website operators and third parties a means to deliver a graphic image on a web page or in an email message for the purpose of gathering data. The Site uses web beacons to gather","Collect on website"
"17","Web Beacons: The Site uses web beacons, which provide website operators and third parties a means to deliver a graphic image on a web page or in an email message for the purpose of gathering data. The Site uses web beacons to gather","Collect on website"
"17","Web Beacons: The Site uses web beacons, which provide website operators and third parties a means to deliver a graphic image on a web page or in an email message for the purpose of gathering data. The Site uses web beacons to gather","Collect on website"
"17","Web Beacons: The Site uses web beacons, which provide website operators and third parties a means to deliver a graphic image on a web page or in an email message for the purpose of gathering data. The Site uses web beacons to gather","Collect on website"
"18","We maintain and use","Unspecified"
"19","attribute your comments, letters to the editor and/or other submissions to the Site to you.","Collect on website"
"19","We may also maintain and use your personally identifiable information","Unspecified"
"20","We may combine personally identifiable information and automatic information we obtain from you","Unspecified"
"20","We may combine personally identifiable information and automatic information we obtain from you","Unspecified"
"21","We may also use personally identifiable information to send you","Unspecified"
"23","your personally identifiable information will be given to Miami New Times and to the third-party advertiser/sponsor involved with the relevant contest, promotion, poll, survey or newsletter and/or its agents and affiliates.","Receive from other service/third-party (named)"
"26","track how our visitors use the Site,","Collect on website"
"26","track how our visitors use the Site,","Collect on website"
"26","track how our visitors use the Site,","Collect on website"
"26","We may maintain and use automatic information to track how our visitors use the Site,","Collect on website"
"26","We may maintain and use automatic information to track how our visitors use the Site,","Collect on website"
"8","that your web browser makes available whenever you visit our Site,","Collect on website"
"8","that your web browser makes available whenever you visit our Site,","Collect on website"
"8","that your web browser makes available whenever you visit our Site,","Collect on website"
"8","that your web browser makes available whenever you visit our Site,","Collect on website"
"12","This Site","Collect on website"
"12","This Site","Collect on website"
"12","This Site","Collect on website"
"13","use cookies or IP address tracking to retrieve personally identifiable information from your computer.","Other"
"14","based on the pages and content that you view","Track user on other websites"
"17","The Site","Collect on website"
"17","The Site","Collect on website"
"17","The Site","Collect on website"
"17","The Site","Collect on website"
"17","The Site","Collect on website"
"19","to the Site.","Collect on website"
"19","to the Site.","Collect on website"
"26","the Site","Collect on website"
"26","the Site","Collect on website"
"26","the Site","Collect on website"
