"8","In addition, please note that we may hire vendors (agents or contractors) to collect personal information on our behalf","Receive from other parts of company/affiliates"
"8","Online Service","Collect on website"
"12","use of the Online Services,","Unspecified"
"12","We also may use ""cookies"" and other passive technologies including clear gifs to collect certain non-personal information from you in connection with your use of the Online Services, such as the pages you visit and the features you use. Our cookies are linked to personal information.","Collect on website"
"12","use of the Online Service","Collect on website"
"12","use of the Online Service","Collect on website"
"12","use of the Online Service","Collect on website"
"12","use of the Online Service","Collect on website"
"14","The Company collects personal information from you on a voluntary basis.","Collect on website"
"15","collected","Unspecified"
"15","collected","Unspecified"
"15","collected","Unspecified"
"15","collected","Unspecified"
"15","collected","Unspecified"
"15","collected","Unspecified"
"15","collected","Unspecified"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on. I","Collect on website"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on. I","Collect on website"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on. I","Collect on website"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on. I","Collect on website"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on. I","Collect on website"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on. I","Collect on website"
"15","The types of information collected in connection with the activities listed above will vary depending on the activity. The information we collect may include personal information such as your first and/or last name, e-mail address, phone number, photo, mailing address, or payment information. In addition, we may collect demographic and non-personal information about you or your systems, such as your age, gender, date of birth, zip code, hardware configuration, console ID, software products played, survey data, purchases, IP address and the systems you have played on. I","Collect on website"
"16","collect information about your use of the Online Services.","Collect from user on other websites"
"16","If you use, purchase, or register for an Online Service through a third-party service such as a gaming console's network service, an internet based gaming service, or a social network website, or request that we associate a Company account with a third-party service account, then limited user account personal information may be transferred to the Company as part of the registration process and we may be able to collect information about your use of the Online Services. For example, if you purchase virtual currency through a gaming console service, that gaming console service will provide us with information to effectuate the transaction, including the amount of virtual currency purchased and a means to identify your Online Service account.","Receive from other service/third-party (unnamed)"
"16","If you use, purchase, or register for an Online Service through a third-party service such as a gaming console's network service, an internet based gaming service, or a social network website, or request that we associate a Company account with a third-party service account, then limited user account personal information may be transferred to the Company as part of the registration process and we may be able to collect information about your use of the Online Services. For example, if you purchase virtual currency through a gaming console service, that gaming console service will provide us with information to effectuate the transaction, including the amount of virtual currency purchased and a means to identify your Online Service accou","Receive from other service/third-party (unnamed)"
"16","If you use, purchase, or register for an Online Service through a third-party service such as a gaming console's network service, an internet based gaming service, or a social network website, or request that we associate a Company account with a third-party service account, then limited user account personal information may be transferred to the Company as part of the registration process and we may be able to collect information about your use of the Online Services. For example, if you purchase virtual currency through a gaming console service, that gaming console service will provide us with information to effectuate the transaction, including the amount of virtual currency purchased and a means to identify your Online Service accou","Receive from other service/third-party (unnamed)"
"17","When you use an application on a Social Networking Site","Track user on other websites"
"17","When you use an application on a Social Networking Site (""SNS""), you allow us to access certain information from your profile from that SNS.","Receive from other service/third-party (unnamed)"
"17","you allow us to access certain information from your profile from that SNS.","Receive from other service/third-party (unnamed)"
"18","ay also provide other information to us.","Receive from other service/third-party (named)"
"18","provide you the option to share certain personal information with us","Receive from other service/third-party (named)"
"18","When you play certain software products published by the Company, information about your gameplay may be collected and transmitted to the Company","Collect on website"
"18","ultisite IDs may also provide other information to us.","Receive from other service/third-party (unnamed)"
"18","ultisite IDs may also provide other information to us.","Receive from other service/third-party (unnamed)"
"19","he Company may receive information regarding your gameplay","Receive from other service/third-party (unnamed)"
"19","When you use products or services on internet-capable hardware, the Company may receive information regarding your gameplay without any additional notice to you or actions taken by you.","Receive from other parts of company/affiliates"
"19","may receive","Receive from other service/third-party (unnamed)"
"19","may receive","Receive from other service/third-party (unnamed)"
"19","may receive","Receive from other service/third-party (unnamed)"
"19","may receive","Receive from other service/third-party (unnamed)"
"20","transferred automatically to the Company when you register to join an Online Service from a third-party gaming network system or link your Online Service membership with a third-party service,","Receive from other service/third-party (named)"
"20","you will be asked to provide account information associated with that third-party account.","Collect on website"
"20","Certain membership information may be transferred automatically to the Company when you register to join an Online Service from a third-party gaming network system or link your Online Service membership with a third-party service, such as your friends list on that gaming network or social network service.","Receive from other service/third-party (unnamed)"
"20","Certain membership information may be transferred automatically to the Company when you register to join an Online Service from a third-party gaming network system or link your Online Service membership with a third-party service, such as your friends list on that gaming network or social network service.","Receive from other service/third-party (unnamed)"
"22","We may provide e-mail addresses or forms to which visitors can send us questions or comments, or which visitors can use to request customer support. In the process of receiving and responding to such requests, we may collect personal information about you, such as your e-mail address or any other personal data contained in the body of your e-mail message.","Collect on website"
"22","we may collect personal information about you, such as your e-mail address or any other personal data contained in the body of your e-mail message.","Other"
"26","regardless of registration we may nonetheless publish gameplay boards and multiplayer match records that contain certain information as a result of your use of the products, such as your player ID.","Collect on website"
"27","Online Services to collect information that is not personal.","Collect on website"
"28","websites","Collect on website"
"28","Our cookies do not include people's names, e-mail addresses, or other personal information; they are typically used to quickly identify a user's computer, browser, or device and to ""remember"" things about prior visits (such as the user's use of various features on the service). You can disable cookies or set your browser to alert you when cookies are being sent to your computer; however, disabling cookies may affect your ability to use certain Online Services.","Collect on website"
"29","We may also use flash cookies","Collect on website"
"29","n our sites that employ Flash technology.","Collect on website"
"30","A ""web beacon"" is an electronic image that allows websites to count users who have visited certain pages or viewed certain advertisements. Web beacons, like cookies, do not include personal information.","Collect on website"
"30","A ""web beacon"" is an electronic image that allows websites to count users who have visited certain pages or viewed certain advertisements. Web beacons, like cookies, do not include personal information.","Collect on website"
"31","The Company may also keep track of IP addresses","Collect on website"
"32","Other information that may be passively collected by the Company","Collect on website"
"32","Other information that may be passively collected by the Company","Collect on website"
"32","Other information that may be passively collected by the Company","Collect on website"
"32","Other information that may be passively collected by the Company","Collect on website"
"32","Other information that may be passively collected by the Company","Collect on website"
"32","Other information that may be passively collected by the Company","Collect on website"
"36","via our Online Services","Unspecified"
"36","via our Online Services","Unspecified"
"36","via our Online Services","Unspecified"
"36","via our Online Services","Unspecified"
"36","via our Online Services","Unspecified"
"36","via our Online Services","Unspecified"
"36","that information is received by the Company.","Collect on website"
"36","that information is received by the Company.","Collect on website"
"36","that information is received by the Company.","Collect on website"
"36","that information is received by the Company.","Collect on website"
"36","that information is received by the Company.","Collect on website"
"36","that information is received by the Company.","Collect on website"
"36","that information is received by the Company.","Collect on website"
"36","that information is received by the Company.","Collect on website"
"37","our collection, use, storage, transmission and public display of statistical data","Collect on website"
"41","may be transferred automatically to the Company when you link your Online Service membership with SNS account, s","Collect from user on other websites"
"41","Certain membership information may be transferred automatically to the Company","Receive from other service/third-party (unnamed)"
"41","Facebook and Twitter.","Receive from other service/third-party (named)"
