"3","when you buy a ticket","Other"
"4","we collect information you post in a public space on our website","Collect on website"
"4","third-party social media site.","Receive from other service/third-party (unnamed)"
"6","If you use our website, we may collect information about the browser you're using.","Collect on website"
"6","If you use our website, we may collect information about the browser you're using.","Collect on website"
"6","our mobile app","Collect in mobile app"
"6","our mobile app","Collect in mobile app"
"6","our mobile app","Collect in mobile app"
"6","our mobile app","Collect in mobile app"
"6","If you use our website,","Collect on website"
"6","If you use our website,","Collect on website"
"6","If you use our mobile app","Collect in mobile app"
"6","If you use our mobile app","Collect in mobile app"
"6","If you use our mobile app,","Collect in mobile app"
"6","If you use our mobile app","Collect in mobile app"
"8","We use tracking tools like browser cookies and web beacons.","Other"
"9","We get information about you from third parties.","Receive from other service/third-party (unnamed)"
"9","We get information about you from third parties.","Receive from other service/third-party (unnamed)"
"9","We get information about you from third parties.","Receive from other service/third-party (unnamed)"
"9","We get information about you from third parties.","Receive from other service/third-party (unnamed)"
"12","We may combine information we get from you with information about you we get from third parties","Receive from other service/third-party (unnamed)"
"12","We may combine information we get from you with information about you we get from third parties.","Other"
"14","our mobile apps","Collect in mobile app"
"15","We use information to send you transactional communications. For example, we might send you emails about your account or a ticket purchase. We might also contact you about this policy or our website terms.","Unspecified"
"2","We collect information from and about you","Unspecified"
"4","we collect information you post in a public space on our website","Collect on website"
"4","on a third-party social media site","Receive from other service/third-party (unnamed)"
"5","We may collect","Unspecified"
"6","If you use our website, we may collect","Collect on website"
"6","If you use our mobile app, we may collect","Collect in mobile app"
"6","If you use our mobile app, we may collect","Collect in mobile app"
"6","If you use our mobile app, we may collect","Collect in mobile app"
"6","If you use our mobile app, we may collect","Collect in mobile app"
"8","We collect","Unspecified"
"9","We get information about you from third parties","Receive from other service/third-party (unnamed)"
"9","We get information about you from third parties","Receive from other service/third-party (unnamed)"
"14","We use","Other"
"15","We use","Other"
"16","We use","Other"
