"2","these page","Collect on website"
"2","these page","Collect on website"
"2","these page","Collect on website"
"2","collected at these pages","Collect on website"
"2","collected at these pages","Collect on website"
"2","The personal information collected at these pages","Collect on website"
"3","websites","Collect on website"
"3","Illini Media uses non-identifying and aggregate information to better customize our websites for your use","Collect on website"
"5","Google Analytics","Receive from other service/third-party (named)"
"5","Illini Media also uses Google Analytics that allows us","Receive from other service/third-party (named)"
"5","Illini Media also uses Google Analytics that allows us","Receive from other service/third-party (named)"
"6","Demographics","Collect on website"
"6","Demographics Overview (overview of traffic by age and gender) Age (traffic by age ranges) Gender (traffic by gender)","Receive from other service/third-party (named)"
"7","Interests","Collect on website"
"7","Interests Overview (overview of traffic by affinity and other categories) Affinity Categories (behavior by affinity categories) In-Market Categories (behavior by in-market categories) Other Categories (behavior by other interest categories)","Receive from other service/third-party (named)"
"8","analysis","Receive from other service/third-party (named)"
"8","analysis","Receive from other service/third-party (named)"
"8","analysis","Receive from other service/third-party (named)"
"9","use first-party cookies","Collect on website"
"9","use first-party cookies","Collect on website"
"9","Illini Media and third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on someone's past visits to your website. Illini Media and third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookies) and third-party cookies (such as the DoubleClick cookie) together to report how our ad impressions, other uses of ad services, and interactions with these ad impressions and ad services are related to visits to your site.","Collect on website"
