"2","our Services","Unspecified"
"2","our Services","Unspecified"
"2","our Services","Unspecified"
"2","our Services","Unspecified"
"2","our Services","Unspecified"
"2","our Services","Unspecified"
"2","However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to: Full name, Email address, Password, Street address, Telephone number(s), Birth date,","Collect on website"
"2","However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to: Full name, Email address, Password, Street address, Telephone number(s), Birth date,","Collect on website"
"2","However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to: Full name, Email address, Password, Street address, Telephone number(s), Birth date,","Collect on website"
"2","However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to: Full name, Email address, Password, Street address, Telephone number(s), Birth date,","Collect on website"
"3","there may also be opportunities for you to grant permission for use of other of your information","Collect on website"
"4","If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information","Collect on website"
"4","If you submit personal information to us, or to any third party acting on our behalf, we may use and share your information as set forth in this Privacy Policy and as disclosed when you first submit your information","Collect on website"
"4","or to any third party acting on our behalf, we may use and share your information","Receive from other service/third-party (unnamed)"
"5","Use your information to provide services you've requested or provide you with offers, promotions (e.g., a sweepstakes, fantasy game, subscription to goods or services, etc.) or content or add you to our postal mail list;","Collect on website"
"5","Use your information","Collect on website"
"6","Use your information to send you electronic communications, including emails about the league or a club applicable to your interactions with our Website, and about products, services, sponsors, partners and affiliates when you make a purchase, agree to rules or terms, or otherwise engage with our Website","Collect on website"
"6","Use your information to send you electronic communications, including emails about the league or a club applicable to your interactions with our Website, and about products, services, sponsors, partners and affiliates when you make a purchase, agree to rules or terms, or otherwise engage with our Website","Collect on website"
"10","Use and share your information","Unspecified"
"10","Use","Collect on website"
"11","information","Unspecified"
"11","Use and share your information","Unspecified"
"11","Use","Collect on website"
"13","to collect","Collect on website"
"13","to collect","Collect on website"
"14","Mobile Games,","Collect in mobile app"
"14","access your contacts list","Collect on mobile website"
"15","We use and permit automatic methods such as cookies","Collect on website"
"17","access certain of your Social Network information","Collect from user on other websites"
"17","access certain of your Social Network information","Collect from user on other websites"
"17","access certain of your Social Network information","Collect from user on other websites"
"17","access certain of your Social Network information","Collect from user on other websites"
"17","access certain of your Social Network information","Collect from user on other websites"
"17","you permit us to share or publish information about your activity on our Services, with that Social Network and its users, and to access certain of your Social Network information, as disclosed by you at the time you consent to the connection.","Receive from other service/third-party (unnamed)"
"18","collect","Collect in mobile app"
"18","collect","Collect in mobile app"
"18","may collect your unique device ID","Collect in mobile app"
"18","collect your unique device ID and share it on an aggregated and anonymous basis","Collect on website"
"23","collected through the use of cookies","Collect on website"
"23","collected through the use of cookies","Collect on website"
"30","knowingly collect","Unspecified"
