"3","order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","Unspecified"
"3","order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","Unspecified"
"3","order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","Unspecified"
"3","order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","Unspecified"
"3","order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","Unspecified"
"3","order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","Unspecified"
"3","The types of personally identifiable information that may be collected at these pages and elsewher","Collect on website"
"3","The types of personally identifiable information that may be collected at these pages and elsewher","Collect on website"
"3","The types of personally identifiable information that may be collected at these pages and elsewher","Collect on website"
"4","We may also collect","Collect on website"
"5","At some Time Inc. sites and through certain promotions, you can submit information about other people.","Collect on website"
"6","web pages","Collect on website"
"6","web pages","Collect on website"
"6","use our applications","Collect in mobile app"
"6","use our applications","Collect in mobile app"
"6","use our applications","Collect in mobile app"
"6","collect certain non-personally identifiable information when you visit our web pages or use our applications","Collect on website"
"6","collect certain non-personally identifiable information when you visit our web pages or use our applications","Collect on website"
"6","collect certain non-personally identifiable information when you visit our web pages or use our applications","Collect on website"
"7","We may use the information you provide about yourself","Collect on website"
"8","receive with outside records","Receive from other service/third-party (unnamed)"
"8","information we receive with outside records","Receive from other service/third-party (unnamed)"
"8","We may combine information we receive with outside records and","Receive from other service/third-party (unnamed)"
"9","from third party sources to third parties","Receive from other service/third-party (unnamed)"
"9","we receive from you and from third party sources to third partie","Receive from other service/third-party (unnamed)"
"9","we receive from you","Unspecified"
"11","We sometimes use this information","Collect on website"
"13","with our online forums and communities","Collect on website"
"13","with our online forums and communities","Collect on website"
"13","The information we collect in connection with our online forums and communities","Collect on website"
"13","connection with our online forums and communities is","Unspecified"
"14","that we collec","Collect on website"
"14","that we collec","Collect on website"
"25","Time Inc. sites","Collect on website"
"25","Time Inc. sites","Collect on website"
"28","computer or device.","Collect on website"
"28","To enhance your experience on our Services, we may place ""cookies"" on your computer or device.","Collect on website"
"29","We use cookies","Collect on website"
"29","We use cookies","Collect on website"
"31","Local shared objects, such as .Flash cookies,. also may be stored on your computer or device.","Collect on website"
"32","Web sites a","Collect on website"
"32","Web sites a","Collect on website"
"32","Web sites a","Collect on website"
"32","Web sites a","Collect on website"
"32","Web sites a","Collect on website"
"32","This information may be retrieved by us","Collect on website"
"32","This information may be retrieved by us","Collect on website"
"33","Cache cookies, such as eTags, may be used to identify your computer","Collect on website"
"34","websites","Collect on website"
"34","websites","Collect on website"
"34","Our websites may also use small pieces of code called ""web beacons"" or ""clear gifs"" to collect anonymous and aggregate","Collect on website"
"34","Our websites may also use small pieces of code called ""web beacons"" or ""clear gifs"" to collect anonymous and aggregate","Collect on website"
"34","Our websites may also use small pieces of code called ""web beacons"" or ""clear gifs"" to collect anonymous and aggregate","Collect on website"
"35","from you through different means or at different times, including both personal information and Service usage information, and use such information along with offline and online information obtained from other sources (including third parties)","Receive from other service/third-party (unnamed)"
"35","from you through different means or at different times, including both personal information and Service usage information, and use such information along with offline and online information obtained from other sources (including third parties)","Receive from other service/third-party (unnamed)"
"35","deployed","Track user on other websites"
"35","These tracking technologies may be deployed by us","Collect on website"
"35","information obtained from other sources (including third parties)","Receive from other service/third-party (unnamed)"
"35","information obtained from other sources (including third parties)","Receive from other service/third-party (unnamed)"
"35","information obtained from other sources (including third parties)","Receive from other service/third-party (unnamed)"
"35","information obtained from other sources (including third parties)","Receive from other service/third-party (unnamed)"
