"4","We automatically collect","Unspecified"
"4","we may automatically collect","Unspecified"
"4","we may automatically collect","Unspecified"
"4","we may automatically collect","Unspecified"
"5","We will use","Unspecified"
"5","We will use","Unspecified"
"5","Our third-party advertising networks and servers will also provide us","Receive from other service/third-party (named)"
"6","to provide","Unspecified"
"6","to provide","Unspecified"
"6","We use your","Unspecified"
"6","We use your","Unspecified"
"6","We use your","Unspecified"
"6","You may also choose","Unspecified"
"6","You may also choose","Unspecified"
"6","You may also choose","Unspecified"
"6","We may also collect additional information about you when you visit certain features of the Services","Other"
"6","or the pages of certain of our partners","Collect from user on other websites"
"6","We may also collect additional information about you when you visit certain features of the Services","Other"
"6","We may also collect additional information about you when you visit certain features of the Services","Other"
"6","We may also collect additional information about you when you visit certain features of the Services","Other"
"6","or the pages of certain of our partners","Collect from user on other websites"
"6","or the pages of certain of our partners","Collect from user on other websites"
"6","or the pages of certain of our partners","Collect from user on other websites"
"6","or the pages of certain of our partners","Collect from user on other websites"
"13","is sent to your computer","Other"
"14","We use","Other"
"14","We use","Other"
"14","We use","Other"
"14","We use","Other"
"15","We may also use","Other"
"15","A pixel tag can collect","Other"
"15","A pixel tag can collect","Other"
"15","A pixel tag can collect","Other"
"15","A pixel tag can collect","Other"
"16","We may use pixel tags,","Other"
"16","or by our third party advertisers and ad networks","Receive from other service/third-party (named)"
"17","We also may allow certain analytic services and providers of applications used on the Services (e.g., sharing buttons) to collect","Receive from other service/third-party (named)"
"17","We also may allow certain analytic services and providers of applications used on the Services (e.g., sharing buttons) to collect","Receive from other service/third-party (named)"
"17","We also may allow certain analytic services and providers of applications used on the Services (e.g., sharing buttons) to collect","Receive from other service/third-party (named)"
"19","display targeted advertisements","Other"
"19","display targeted advertisements","Other"
"21","we must periodically receive","Collect in mobile app"
"21","(a) locate your hardware; (b) record, compile","Collect in mobile app"
"21","we may also collect","Collect in mobile app"
"21","we may also collect","Collect in mobile app"
"4","We automatically collect","Collect on website"
"4","We automatically collect","Collect on website"
"4","We automatically collect","Collect on website"
"4","We automatically collect","Collect on website"
"5","We will use such","Collect on website"
"6","required to provide","Collect on website"
"6","required to provide","Collect on website"
"6","collect additional information about you when you visit certain features of the Services","Collect on website"
"13","sent to your computer","Collect on website"
"14","We use","Collect on website"
"14","We use","Collect on website"
"14","We use","Collect on website"
"15","We may also use","Collect on website"
"15","We may also use","Collect on website"
"15","We may also use","Collect on website"
"17","to collect","Collect on website"
"21","applications","Collect in mobile app"
"4","the Services","Unspecified"
"4","the Services","Unspecified"
"4","the Services","Unspecified"
"4","the Services","Unspecified"
"4","the Services","Unspecified"
"5","use","Unspecified"
"5","use","Unspecified"
"5","Our third-party advertising networks and servers will also provide us reports","Receive from other service/third-party (unnamed)"
"6","the Services","Unspecified"
"6","the Services","Unspecified"
"6","the Services","Unspecified"
"6","the Services","Unspecified"
"6","the Services","Unspecified"
"6","when you visit certain features of the Services or the pages of certain of our partners when you interact with offers and advertisements, when you contact us for support, when you log into the Services with your account, when you complete a survey, or when you enter promotions","Other"
"13","the Services,","Unspecified"
"13","the Services,","Unspecified"
"14","enter","Unspecified"
"14","sign in","Unspecified"
"14","on our Services","Unspecified"
"14","on the Services.","Unspecified"
"15","use of the Services","Unspecified"
"15","use of the Services","Unspecified"
"15","use of the Services","Unspecified"
"15","use of the Services","Unspecified"
"15","use of the Services","Unspecified"
"16","provided by us","Unspecified"
"16","provided by us","Unspecified"
"16","by our third party advertisers and ad networks","Receive from other service/third-party (unnamed)"
"16","by our third party advertisers and ad networks","Receive from other service/third-party (unnamed)"
"19","on the Services","Unspecified"
"19","on the Services","Unspecified"
"19","on the Services","Unspecified"
"21","applications","Collect in mobile app"
"21","collect","Unspecified"
"21","collect","Unspecified"
"22","we reserve the right to send","Other"
"22","we reserve the right to send","Other"
