"0","visit the Washingtonian.com site.","Collect on website"
"0","when you subscribe to Washingtonian magazine","Other"
"1","On certain pages, however, you may be asked to provide","Collect on website"
"1","On certain pages, however, you may be asked to provide","Collect on website"
"2","we collect","Unspecified"
"2","we collect","Unspecified"
"2","we collect","Unspecified"
"2","we collect","Unspecified"
"2","we collect","Unspecified"
"3","Washingtonian.com also collects information","Collect on website"
"4","In addition, our site uses third-party software to analyze the web pages within our site that your computer visits","Other"
"5","we collect from you","Unspecified"
"7","collected by Washingtonian.com","Unspecified"
"7","collected by Washingtonian.com","Unspecified"
"0","collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site.","Collect on website"
"1","we collect","Collect on website"
"1","you may be asked to provide","Collect on website"
"1","You may also be asked to provide","Collect on website"
"1","You may also be asked to provide","Collect on website"
"2","we collect","Collect on website"
"2","we collect","Collect on website"
"2","we collect","Collect on website"
"2","we collect","Collect on website"
"3","Washingtonian.com also collects","Collect on website"
"4","third-party software to analyze the web pages","Receive from other service/third-party (unnamed)"
"4","We collect","Receive from other service/third-party (unnamed)"
"5","we collect","Unspecified"
"5","We may use aggregated information","Unspecified"
"6","We may use your","Other"
"6","We may also use","Other"
"7","collected by Washingtonian.com","Collect on website"
"7","collected by Washingtonian.com","Collect on website"
"14","Our Web advertising partners send us","Receive from other service/third-party (named)"
"14","Our Web advertising partners send us","Receive from other service/third-party (named)"
"14","Our Web advertising partners send us","Receive from other service/third-party (named)"
"0","collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site.","Collect on website"
"1","information we collect","Collect on website"
"2","we collect","Collect on website"
"2","we collect","Collect on website"
"3","Washingtonian.com also collects","Collect on website"
"5","we collect","Collect on website"
"6","We may use","Collect on website"
"7","collected by Washingtonian.com","Collect on website"
