"2","collect personal information from you","Unspecified"
"2","Web sites","Collect on website"
"2","Web sites","Collect on website"
"2","Whether you are a subscriber or a visitor to our site,","Collect on website"
"2","subscriber or a visitor to our site","Collect on website"
"2","to our site","Collect on website"
"2","to our site","Collect on website"
"2","to our site","Collect on website"
"2","to our site","Collect on website"
"2","to our site","Collect on website"
"2","to our site","Collect on website"
"3","collect any personal information from a visitor to our sites","Collect on website"
"3","sites","Collect on website"
"3","sites","Collect on website"
"3","to our sites","Collect on website"
"3","We do not collect any personal information from a visitor to our sites unless that visitor explicitly and intentionally provides it. Under no circumstances do we collect any personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, health, or sex life.","Collect on website"
"3","our sites","Collect on website"
"3","our sites","Collect on website"
"3","Under no circumstances","Unspecified"
"3","Under no circumstances","Unspecified"
"3","browsing our sites","Collect on website"
"4","If you choose to subscribe to our premium products or services, we will request certain information","Collect on website"
"4","If you choose to subscribe to our premium products or services, we will request certain information","Collect on website"
"4","If you choose to subscribe to our premium products or services","Other"
"4","If you choose to subscribe to our premium products or services","Other"
"5","When you visit our sites","Collect on website"
"5","When you visit our sites","Collect on website"
"5","When you visit our sites","Collect on website"
"5","When you visit our sites","Collect on website"
"5","When you visit our sites, our computers may automatically collect statistics about your visit.","Collect on website"
"5","When you visit our sites","Collect on website"
"5","When you visit our sites","Collect on website"
"6","we never collect or maintain information","Collect on website"
"7","A ""cookie"" is a piece of information that our web sites send to your browser, which then is stored on your system.","Collect on website"
"7","our web sites","Collect on website"
"10","Disclosure by Law and Protection of Farlex If we are required by law to disclose certain information to local, state, federal, national or international law enforcement authorities, we will do so. We will also disclose information to third parties as necessary in order to comply with applicable laws and regulations.","Unspecified"
"10","In addition, Farlex may share information in order to investigate, prevent, or take action regarding illegal activities or suspected fraud, or enforce or apply our agreements.","Unspecified"
"12","We may use the information you submit to contact you to discuss the support, renewal, and purchase of our premium products and services. You may receive a communication directly from one of our customer care representatives. Please be assured that we will keep the communications to a minimum and you will have an option to block any communication from us if your subscriptions are cancelled. Please be aware that we reserve the right to notify our subscribers of any information that affects the status of current subscriptions. You may not opt out of receiving information regarding the expiration and renewal of the subscriptions, account balances or the payment history and status.","Unspecified"
