"1","use cookies","Other"
"1","cookies","Other"
"1","Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT","Unspecified"
"1","on the UH Central Web server (www.uh.edu).","Collect on website"
"3","send us an electronic mail message with a question or comment that contains personally identifying information, or fill out a form that sends us this information","Other"
"3","send us an electronic mail message with a question or comment that contains personally identifying information, or fill out a form that sends us this information","Other"
"3","If you send us an electronic mail message with a question or comment that contains personally identifying information, or fill out a form that sends us this information, we will only use the personally-identifiable information to respond to your request and analyze trends. We may redirect your message to another government agency or person who is in a better position to answer your question.","Other"
"3","If you send us an electronic mail message with a question or comment that contains personally identifying information, or fill out a form that sends us this information, we will only use the personally-identifiable information to respond to your request and analyze trends. We may redirect your message to another government agency or person who is in a better position to answer your question.","Unspecified"
"3","electronic mail message with a question or comment","Collect on website"
"3","electronic mail message with a question or comment","Collect on website"
"4","site management functions","Collect on website"
"4","information is collected","Unspecified"
"4","information is collected","Unspecified"
"4","information is collected","Unspecified"
"5","We use","Unspecified"
"5","We use log analysis tools","Unspecified"
