"3","from visitors to the Site","Collect on website"
"3","from visitors to the Site","Collect on website"
"3","from visitors to the Site","Collect on website"
"3","from visitors to the Site","Collect on website"
"4","other than","Collect on website"
"4","other than","Collect on website"
"4","other than","Collect on website"
"6","we collect your","Collect on website"
"6","we collect your","Collect on website"
"7","PBS will collect","Collect on website"
"7","PBS will collect","Collect on website"
"8","We may collect","Collect on website"
"9","On some pages of the Site, you can submit","Collect on website"
"10","we may collect","Collect on website"
"11","we may collect","Collect on website"
"12","we may also collect","Collect on website"
"13","we may collect","Collect on website"
"13","we may collect","Collect on website"
"13","we may collect","Collect on website"
"13","we may collect","Collect on website"
"14","we use ""cookies"" and similar technologies.","Collect on website"
"17","we may use","Unspecified"
"17","we may use","Unspecified"
"20","We (which includes our service providers) will use these","Unspecified"
"20","We (which includes our service providers) will use these","Unspecified"
"20","We (which includes our service providers) will use these","Unspecified"
"29","PBS uses the content from the cookies","Unspecified"
"29","PBS uses the content from the cookies","Unspecified"
"3","PBS collects two types of information from visitors to the Site","Collect on website"
"3","PBS collects two types of information from visitors to the Site","Collect on website"
"4","collect","Collect on website"
"4","collect","Collect on website"
"6","we collect","Collect on website"
"6","we collect","Collect on website"
"7","PBS will collect and store","Collect on website"
"7","PBS will collect and store","Collect on website"
"8","We may collect","Collect on website"
"10","we may collect","Collect on website"
"11","we may collect","Collect on website"
"12","we may also collect and store","Collect on website"
"13","we may collect","Collect on website"
"13","we may collect","Collect on website"
"14","we use","Collect on website"
"17","we may use","Collect on website"
"28","We use","Collect on website"
"28","We use","Collect on website"
"28","We use","Collect on website"
"29","PBS uses","Collect on website"
"30","PBS uses","Collect on website"
"31","may be used","Collect on website"
"3","collects two types of information from visitors to the Site","Collect on website"
"3","collects two types of information from visitors to the Site","Collect on website"
"3","collects two types of information from visitors to the Site","Collect on website"
"3","collects two types of information from visitors to the Site","Collect on website"
"4","PBS","Unspecified"
"4","PBS","Unspecified"
"4","PBS","Unspecified"
"5","Site","Collect on website"
"6","Site","Collect on website"
"6","Site","Collect on website"
"7","On certain pages within the Site","Collect on website"
"7","On certain pages within the Site","Collect on website"
"8","On some pages of the Site","Collect on website"
"12","Site","Collect on website"
"13","Site","Collect on website"
"13","Site","Collect on website"
"13","Site","Collect on website"
"14","As is common practice among web sites","Collect on website"
"14","web sites","Collect on website"
"14","web sites","Collect on website"
"29","sell","Other"
"30","on pbs.org","Collect on website"
"30","which pages you visit and the amount of time between each page visit.","Track user on other websites"
