"11","Websites","Collect on website"
"11","App","Collect in mobile app"
"11","App","Collect in mobile app"
"11","App","Collect in mobile app"
"11","Websites","Collect on website"
"11","Websites","Collect on website"
"12","Websites","Collect on website"
"12","App","Collect in mobile app"
"12","Websites","Collect on website"
"12","App","Collect in mobile app"
"12","Websites","Collect on website"
"12","App","Collect in mobile app"
"15","We may collect,","Other"
"15","or our third party ad server and/or content server may collect","Receive from other service/third-party (unnamed)"
"16","download our App","Collect in mobile app"
"16","use our Services","Other"
"16","ask you for, access or track","Other"
"24","In any other way","Other"
"55","Websites","Collect on website"
"55","Websites","Collect on website"
"62","on our Websites","Collect on website"
"63","mobile software on your phone","Collect in mobile app"
"71","hosted directly on our Websites","Collect on website"
"71","hosted directly on our Websites","Collect on website"
"71","hosted directly on our Websites","Collect on website"
"2","when you visit the lynda.com websites","Collect on website"
"2","m.lynda.com","Collect on mobile website"
"2","and www.video2brain.com (the Websites)","Receive from other parts of company/affiliates"
"2","the lynda.com mobile application (App)","Collect in mobile app"
"2","when you visit the lynda.com websites","Collect on website"
"2","for collecting, using, maintaining, protecting and disclosing","Other"
"2","we collect","Unspecified"
"2","(i) through our Services","Other"
"2","iii) via mobile applications","Collect in mobile app"
"2","you download from our Websites,","Collect on website"
"2","collected by us offline","Other"
"2","or via third-party sites that may be accessed through hyperlinks on our Services","Receive from other service/third-party (unnamed)"
"10","Information we collect about you","Unspecified"
"10","Information we collect about you","Unspecified"
"10","lynda.com platform service","Collect on website"
"10","lynda.com platform service","Collect on website"
"10","Cookies","Unspecified"
"10","Mobile Analytics","Collect on mobile website"
"10","Mobile Analytics","Collect on mobile website"
"10","Social Media features","Unspecified"
"11","We collect","Unspecified"
"11","We may collect","Unspecified"
"11","We may collect","Unspecified"
"12","We will collect and process","Unspecified"
"12","when you register for a Service","Collect on website"
"12","create an account","Collect on website"
"12","subscribe to a newsletter,","Other"
"12","When ordering products or services on the Websites","Collect on website"
"12","or App","Collect in mobile app"
"12","You may also","Unspecified"
"12","we ask","Unspecified"
"12","we ask","Unspecified"
"12","If you do not provide the mandatory","Other"
"13","We may also collect","Unspecified"
"13","We may also collect","Unspecified"
"13","We may also collect","Unspecified"
"14","We do not collect","Unspecified"
"15","We may collect","Unspecified"
"15","tells us","Unspecified"
"15","tells us","Unspecified"
"15","The information that we collect","Unspecified"
"15","The information that we collect","Unspecified"
"15","The information that we collect","Unspecified"
"16","When you download our App","Collect in mobile app"
"16","When you download our App","Collect in mobile app"
"16","from your mobile device","Collect in mobile app"
"17","We use","Unspecified"
"18","To ensure that content from our Services is presented in the most effective manner for you","Unspecified"
"18","for your computer or mobile device","Unspecified"
"19","where you have consented to be contacted for such purposes","Unspecified"
"19","where you have consented to be contacted for such purposes","Unspecified"
"20","To carry out","Unspecified"
"20","To carry out","Unspecified"
"20","To carry out","Unspecified"
"21","If you pay for Services","Unspecified"
"22","To allow you to participate in interactive features of our Services, when you choose to do so","Unspecified"
"24","n any other way we may describe when you provide the information","Unspecified"
"25","we will only contact you by electronic means (e-mail or SMS)","Unspecified"
"27","on our site","Collect on website"
"27","on our site","Collect on website"
"41","use","Unspecified"
"44","you are interested in receiving offers or information from us","Other"
"44","Only lynda.com","Collect on website"
"45","send","Other"
"54","we may notify yo","Other"
"55","When you use our Websites","Collect on website"
"55","When you use our Websites","Collect on website"
"57","store","Collect on website"
"57","store","Collect on website"
"57","store","Collect on website"
"57","store","Collect on website"
"57","store","Collect on website"
"58","have access or control over these","Other"
"58","The use of cookies by our partners,","Receive from other parts of company/affiliates"
"58","tracking utility company","Receive from other service/third-party (named)"
"58","service providers,","Receive from other service/third-party (unnamed)"
"62","We use","Other"
"63","We use mobile analytics software","Collect in mobile app"
"63","This software may","Collect in mobile app"
"63","This software may","Collect in mobile app"
"63","This software may","Collect in mobile app"
"63","within the App.","Collect in mobile app"
"65","provided us","Other"
"70","on communities, message boards, forums, and the like, which may be accessible via the Websites","Collect on website"
"12","collect and process such data about you when you register for a Service/create an account, subscribe to a newsletter, submit feedback, enter a contest, fill out a survey, or send us a communication","Collect on website"
"13","We may also collect","Collect on website"
"15","We may collect","Collect on website"
"15","Our third party ad servers will provide us with summary","Collect from user on other websites"
"16","When you download our App and use our Services, we automatically collect","Collect in mobile app"
"16","from your mobile device","Collect in mobile app"
"47","lynda.com collects","Collect on website"
"62","you or your activities on our Websites","Collect on website"
"63","mobile analytics software","Collect in mobile app"
"72","we will ask","Collect on website"
