"9","We may use cookies provided by third parties","Collect on first party website/app"
"10","the information that we collect and share","Receive/Shared with"
"10","the information that we collect and share","Receive/Shared with"
"11","We may share","Receive/Shared with"
"11","We may share","Receive/Shared with"
"11","shared with or sold","Receive/Shared with"
"11","shared with or sold","Receive/Shared with"
"11","we may need to share","Receive/Shared with"
"11","share","Receive/Shared with"
"11","share","Receive/Shared with"
"11","we may need to share this information","Receive/Shared with"
"12","shared","Receive/Shared with"
"12","shared","Receive/Shared with"
"12","shared","Receive/Shared with"
"12","shared","Receive/Shared with"
"13","When you visit or use a part of any website, landing page or mobile application that is co-branded or that is a part of a joint promotion involving American Honda and one or more third parties (each a Co-Branded Party), you are providing and consenting to provide your personal information and any other information collected by any Co-Branded Party to American Honda and each of the Co-Branded Parties without any other notice or further consent.","Collect on first party website/app"
"13","you are providing and consenting to provide your personal information and any other information collected by any Co-Branded Party","Collect on first party website/app"
"23","may be shared with","Receive/Shared with"
"23","we will forward","Receive/Shared with"
"23","shared","Receive/Shared with"
"26","We can also forward","Receive/Shared with"
"26","we may forward information","Receive/Shared with"
"29","may be shared with","Receive/Shared with"
"43","share","Receive/Shared with"
"43","share","Receive/Shared with"
"43","share","Receive/Shared with"
"51","will be provided","Receive/Shared with"
"51","will be provided","Receive/Shared with"
"51","will be provided","Receive/Shared with"
"51","will be provided","Receive/Shared with"
"60","the practice of civictour.com to share any information we gather","Receive/Shared with"
"60","share","Receive/Shared with"
"65","We may disclose","Receive/Shared with"
"65","disclose","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"66","share","Receive/Shared with"
"66","share","Receive/Shared with"
"67","We may also disclose:","Receive/Shared with"
"67","We may also disclose:","Receive/Shared with"
"67","disclose","Receive/Shared with"
"67","disclose","Receive/Shared with"
"67","disclose","Receive/Shared with"
"11","We may share information about you with third party service providers","Receive/Shared with"
"20","we may forward information","Receive/Shared with"
"23","may be shared","Receive/Shared with"
"26","we may forward","Receive/Shared with"
"29","may be shared","Receive/Shared with"
"29","we will forward","Receive/Shared with"
"43","You will be able to share","Other"
"43","You will be able to share","Other"
"43","You will be able to share","Other"
"43","You will be able to share","Other"
"51","will be provided to","Receive/Shared with"
"51","will be provided to","Receive/Shared with"
"60","to share","Receive/Shared with"
"65","We may disclose","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"66","We may also share","Receive/Shared with"
"67","We may also disclose","Receive/Shared with"
"67","We may also disclose","Receive/Shared with"
