"1","actively share","Receive/Shared with"
"1","release","Receive/Shared with"
"1","release","Receive/Shared with"
"1","release","Receive/Shared with"
"1","share","Receive/Shared with"
"1","collected from the ACC web site","Collect on first party website/app"
"1","collected from the ACC web site","Collect on first party website/app"
"1","collected from the ACC web site","Collect on first party website/app"
"1","collected from the ACC web site","Collect on first party website/app"
"2","requested","Receive/Shared with"
"2","routinely requested by vendors","Receive/Shared with"
"8","not reported or used","Receive/Shared with"
"8","not reported or used","Receive/Shared with"
"8","released to outside (third) parties","Receive/Shared with"
"14","Tracking pixels redeliver advertising and notifications through 3rd party vendors","Track on first party website/app"
"14","No personally identifiable information is collected","Collect on first party website/app"
"14","sell or rent the information collected through tracking pixels","Receive/Shared with"
"14","shared with third parties","Receive/Shared with"
