"7","share","Receive/Shared with"
"7","We may combine information we receive with outside records and share such information with third parties for use on our behalf","Receive/Shared with"
"8","disclose","Receive/Shared with"
"8","We may disclose personally identifiable information that we receive from you and from third party sources to third parties","Receive/Shared with"
"9","forward","Receive/Shared with"
"9","forward","Receive/Shared with"
"9","When you request a magazine, service, or other product, we will forward the information you give us","Receive/Shared with"
"11","we may publish","See"
"14","disclose","Receive/Shared with"
"14","We will disclose information we maintain","Receive/Shared with"
"14","We also may disclose such information in response","Receive/Shared with"
"16","transfer","Receive/Shared with"
"16","We may transfer","Receive/Shared with"
"17","disclosed","Receive/Shared with"
"17","be sold, disposed of, transferred, divested, or otherwise disclosed as part of that transaction or proceeding.","Receive/Shared with"
"21","Time Inc. sites will not use or transfer","Receive/Shared with"
"24","may be provided to both the Time Inc. site and the third parties.","Receive/Shared with"
"24","may be provided to both the Time Inc. site and the third parties.","Receive/Shared with"
"24","may be provided to","Receive/Shared with"
"24","may be provided to","Receive/Shared with"
"25","This privacy notice does not cover any use of information that such third parties may have collected from you (e.g., type of browser, operating system, domain name, day and time of visit, page(s) visited) or the methods used by the third-parties to collect that information (e.g., cookies, web beacons and clear gifs).","Unspecified"
"7","share","Receive/Shared with"
"8","We may disclose","Receive/Shared with"
"9","forward","Receive/Shared with"
"9","forward","Receive/Shared with"
"9","forward","Receive/Shared with"
"14","disclose","Receive/Shared with"
"16","We may transfer","Receive/Shared with"
"17","may, in whole or in part, be sold, disposed of, transferred, divested,","Other"
"17","disclosed","Receive/Shared with"
"17","may, in whole or in part, be sold, disposed of, transferred, divested,","Other"
"17","disclosed","Receive/Shared with"
"24","may be provided to","Receive/Shared with"
"24","may be provided to","Receive/Shared with"
"25","the methods used by the third-parties to collect that information","Unspecified"
"25","the methods used by the third-parties to collect that information","Unspecified"
