"13","We provide","Receive/Shared with"
"15","We respond to","Other"
"16","We believe it is necessary to share","Receive/Shared with"
"16","We believe it is necessary to share","Receive/Shared with"
"17","We transfer","Other"
"12","rent, sell, or share","Receive/Shared with"
"12","rent, sell, or share","Receive/Shared with"
"12","rent, sell, or share","Receive/Shared with"
"13","We provide t","Receive/Shared with"
"15","We respond","Receive/Shared with"
"16","We believe it is necessary to share","Receive/Shared with"
"16","We believe it is necessary to share","Receive/Shared with"
"17","We transfer information","Other"
"18","provide","Unspecified"
"12","rent, sell, or share","Receive/Shared with"
"13","We provide","Receive/Shared with"
"15","We respond","Receive/Shared with"
"16","to share","Receive/Shared with"
"17","We transfer","Receive/Shared with"
"18","possibility that the advertiser will make the assumption that you meet the targeting criteria used to display the ad","Track on first party website/app"
"19","Yahoo works with","Receive/Shared with"
"21","set and access their cookies on your computer","Track on first party website/app"
