"2","share","Receive/Shared with"
"2","Valve may share anonymous data, aggregated or not, with third parties.","Receive/Shared with"
"2","share","Receive/Shared with"
"2","alve may share anonymous data, aggregated or not, with third parties.","Receive/Shared with"
"4","access and use","Receive/Shared with"
"4","Valve may allow third parties performing services under contract with Valve, such as order or payment processors or merchandise warehouse and fulfillment services, located in and outside the European Union, to access and use personally identifiable information","Receive/Shared with"
"4","may allow third parties performing services under contract with Valve, such as order or payment processors or merchandise warehouse and fulfillment services, located in and outside the European Union, to access and use personally identifiable information, but only to the extent necessary to provide those services.","Receive/Shared with"
"5","share","Receive/Shared with"
"5","share","Receive/Shared with"
"5","hare","Receive/Shared with"
"6","some of this information may be searchable and available to other users within Steam.","See"
"6","Depending on their settings, users agree that some of this information may be searchable and available to other users within Steam.","See"
"7","may collect personally identifiable information about users when users visit their website","Other"
"8","release","Receive/Shared with"
"8","release","Receive/Shared with"
"8","Valve may release personally identifiable information to comply with court orders or laws that require us to disclose such information. In the event of a reorganization, sale or merger we may transfer personally identifiable information to the relevant third party with the users consent if required by law.","Receive/Shared with"
"8","Valve may release personally identifiable information to comply with court orders or laws that require us to disclose such information. In the event of a reorganization, sale or merger we may transfer personally identifiable information to the relevant third party with the users consent if required by law.","Receive/Shared with"
"8","Valve may release personally identifiable information to comply with court orders or laws that require us to disclose such information. In the event of a reorganization, sale or merger we may transfer personally identifiable information to the relevant third party with the users consent if required by law.","Receive/Shared with"
"10","use","Unspecified"
"10","use","Unspecified"
"10","We may also use third party web site analytic tools that employ cookies to collect certain non-personally identifiable information concerning use of our websites, such as referring web site addresses, page views and browser types","Track on first party website/app"
"10","We may also use third party web site analytic tools that employ cookies to collect certain non-personally identifiable information concerning use of our websites, such as referring web site addresses, page views and browser types","Track on first party website/app"
"14","Users should also be aware that game play information disclosed during multiplayer game play (e.g. player name and current player statistics) is public information and may be displayed to other users.","See"
"14","Any information that is disclosed in chat, forums or bulletin boards should be considered public information,","See"
"14","alve's products or services may provide chat, forums, bulletin boards, or instant messaging tools to users. Any information that is disclosed in chat, forums or bulletin boards should be considered public information, and users who message one another may not know each other personally. Valve has no obligation to keep private personally identifiable information that a user makes available to other users or the public using these functions. Users should exercise caution when deciding to disclose personal information in public forums. Users should also be aware that game play information disclosed during multiplayer game play (e.g. player name and current player statistics) is public information and may be displayed to other users.","See"
