"4","collect","Track on first party website/app"
"4","collect","Track on first party website/app"
"4","collect certain Non-Personally Identifiable Information when you visit our Website","Collect on first party website/app"
"4","collect certain Non-Personally Identifiable Information when you visit our Website","Collect on first party website/app"
"4","nor do we allow third-party companies to collect such information from cookies or web beacons on our Website.","Collect on first party website/app"
"7","sell","Receive/Shared with"
"7","We do not sell Personally Identifiable Information or other information you make available to the Websites, or share such information with third parties, except as described below.","Receive/Shared with"
"8","provided","Receive/Shared with"
"8","provided","Receive/Shared with"
"8","provided","Receive/Shared with"
"8","provided","Receive/Shared with"
"8","provided","Receive/Shared with"
"8","may be provided with access to Personally Identifiable Information and Non-Personally Identifiable Information","Receive/Shared with"
"8","may be provided with access to Personally Identifiable Information and Non-Personally Identifiable Information","Receive/Shared with"
"8","We also may subcontract with other companies and individuals to do work on our behalf; they may be provided with access to Personally Identifiable and Non-Personally Identifiable Information, but only as needed to perform their functions.","Receive/Shared with"
"8","We also may subcontract with other companies and individuals to do work on our behalf; they may be provided with access to Personally Identifiable and Non-Personally Identifiable Information, but only as needed to perform their functions.","Receive/Shared with"
"8","These companies or individuals may be provided with access to Personally Identifiable Information and Non-Personally Identifiable Information, but we will require by contract that they agree to maintain the confidentiality, security and integrity of such information. We also may subcontract with other companies and individuals to do work on our behalf; they may be provided with access to Personally Identifiable and Non-Personally Identifiable Information, but only as needed to perform their functions.","Receive/Shared with"
"8","These companies or individuals may be provided with access to Personally Identifiable Information and Non-Personally Identifiable Information, but we will require by contract that they agree to maintain the confidentiality, security and integrity of such information. We also may subcontract with other companies and individuals to do work on our behalf; they may be provided with access to Personally Identifiable and Non-Personally Identifiable Information, but only as needed to perform their functions.","Receive/Shared with"
"9","share","Receive/Shared with"
"9","We may share Personally Identifiable Information with third parties","Receive/Shared with"
"10","disclose","Receive/Shared with"
"10","disclose","Receive/Shared with"
"10","disclose","Receive/Shared with"
"10","We may disclose your Personally Identifiable Information","Receive/Shared with"
"10","We alsomay disclose","Receive/Shared with"
"10","We alsomay disclose","Receive/Shared with"
"10","We may disclose your Personally Identifiable Information to third parties in connection with a corporate transaction where all or a portion of our business (e.g., a portion that includes our customer lists) is sold or transferred.","Receive/Shared with"
"10","We alsomay disclose your Personally Identifiable Information if disclosure is required by law or as part of a lawsuit or government investigation or proceeding, or in order to permit us to exercise or preserve our legal rights or take action regarding potentially illegal activities or to protect the safety of any person.","Receive/Shared with"
