"6","becomes public information","See"
"6","If such information is gathered for a MediaNews survey, no PIN is released and is reported or used only in aggregate form.","Receive/Shared with"
"6","Any information disclosed in chat rooms, forums, message boards, and/or news groups becomes public information.","See"
"8","disclose","Receive/Shared with"
"8","disclose","Receive/Shared with"
"8","disclose","Receive/Shared with"
"8","MediaNews may disclose and use the information collected where required to do so by law, or where MediaNews, in good faith, believes the use or disclosure of the information collected is necessary","Receive/Shared with"
"8","MediaNews may disclose and use the information collected where required to do so by law, or where MediaNews, in good faith, believes the use or disclosure of the information collected is necessary","Receive/Shared with"
"8","MediaNews may disclose","Receive/Shared with"
"8","MediaNews may disclose","Receive/Shared with"
"8","MediaNews may disclose","Receive/Shared with"
"10","use information","Collect on first party website/app"
"10","may place or recognize a unique cookie on your browser.","Collect on first party website/app"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","disclose","Receive/Shared with"
"13","eserves the right to use and disclose the PIN and CIN it collect","Receive/Shared with"
"13","eserves the right to use and disclose the PIN and CIN it collect","Receive/Shared with"
"13","MediaNews may share PIN, CIN and/or aggregate information with third parties such as advertisers and business partners.","Receive/Shared with"
"13","MediaNews may share PIN, CIN and/or aggregate information with third parties such as advertisers and business partners.","Receive/Shared with"
"13","MediaNews may share PIN, CIN and/or aggregate information with third parties such as advertisers and business partners.","Receive/Shared with"
"13","MediaNews may share","Receive/Shared with"
"13","MediaNews may share","Receive/Shared with"
"13","MediaNews may share","Receive/Shared with"
"15","share","Receive/Shared with"
"15","share user information with select advertisers or other third parties whose products or services may be of interest to you.","Receive/Shared with"
"15","share user information with select advertisers or other third parties whose products or services may be of interest to you.","Receive/Shared with"
"15","share user information","Receive/Shared with"
"16","share","Receive/Shared with"
"16","share","Receive/Shared with"
"16","share","Receive/Shared with"
"16","share","Receive/Shared with"
"16","share","Receive/Shared with"
"16","share","Receive/Shared with"
"16","share","Receive/Shared with"
"16","share","Receive/Shared with"
"16","we may send non-personal information to Yahoo! based on your browser's activities, such as type of pages viewed and categories of interests, so that the advertising you see is relevant to you.","Receive/Shared with"
"16","MediaNews may share","Receive/Shared with"
"16","MediaNews may share","Receive/Shared with"
"16","we may send non-personal information to Yahoo!","Receive/Shared with"
"17","share","Receive/Shared with"
"17","share","Receive/Shared with"
"17","In the event that MediaNews Group, Inc., MediaNews Group Interactive, Inc. or MediaNews Group affiliates sells some or all of its assets, or another company acquires one or more of its Web sites, information on users may be among the transferred assets.","Receive/Shared with"
"17","In the event that MediaNews Group, Inc., MediaNews Group Interactive, Inc. or MediaNews Group affiliates sells some or all of its assets, or another company acquires one or more of its Web sites, information on users may be among the transferred assets.","Receive/Shared with"
"17","information on users may be among the transferred assets.","Receive/Shared with"
"19","share your information with third parties","Receive/Shared with"
"19","share your information with third parties","Receive/Shared with"
"25","hird party advertising networks, also collect information","Collect on first party website/app"
"29","MediaNews may disclose information","Receive/Shared with"
"29","Personal information is not disclosed to third parties except those who provide support for the internal operations of the site.","Receive/Shared with"
