"6","are always public, which means they are available to everyone and may be displayed in search results on external search engines.","See"
"6","Public Information and Posts are always public, which means they are available to everyone and may be displayed in search results on external search engines.","See"
"8","collect certain information about those visits.","Collect on first party website/app"
"8","collect certain information about those visits.","Collect on first party website/app"
"9","Cookies may also be used by us or by our service providers to collect and store information on your use of other companies' websites or services,","Track on first party website/app"
"9","and store information on your use of other companies' websites or services, such as sites you visit and materials you view.","Track on first party website/app"
"10","may also use these technologies to collect similar information when you use the FSD Services or third party service.","Collect on first party website/app"
"10","may also use these technologies to collect","Collect on first party website/app"
"19","In some cases, we may use an unaffiliated payment service to allow you to purchase a product or make payments (""Payment Service""). If you wish to purchase a product or make a payment using a Payment Service, you will be directed to a Payment Service web page.","Other"
"21","FSD may make your information we collect from and about you available","Receive/Shared with"
"21","FSD may make your information we collect from and about you available","Receive/Shared with"
"21","FSD may make your information we collect from and about you available","Receive/Shared with"
"21","may make your information we collect from and about you available","Receive/Shared with"
"21","may make your information we collect from and about you available","Receive/Shared with"
"22","we may share information that we collect from or about you","Receive/Shared with"
"22","we may need to share information about you with","Receive/Shared with"
"22","share","Receive/Shared with"
"23","we will share your","Receive/Shared with"
"23","we will share your","Receive/Shared with"
"23","we will share","Receive/Shared with"
"23","we will share","Receive/Shared with"
"24","we may share the information you submit in connection with the Co-Branded Service","Receive/Shared with"
"24","share","Receive/Shared with"
"25","our service providers may use the information we collect from or about you, and information that our service providers collect from your use of other websites and services through cookies and other technologies","Track on first party website/app"
"25","our service providers may use the information we collect from or about you, and information that our service providers collect from your use of other websites and services through cookies and other technologies","Track on first party website/app"
"25","our service providers may use the information we collect from or about you, and information that our service providers collect from your use of other websites and services through cookies and other technologies","Track on first party website/app"
"25","FSD and our service providers may use the information we collect from or about you,","Collect on first party website/app"
"27","FSD may share","Receive/Shared with"
"27","share","Receive/Shared with"
"28","FSD may share","Receive/Shared with"
"28","share","Receive/Shared with"
"29","There may be instances when FSD may use or disclose","Receive/Shared with"
"29","There may be instances when FSD may use or disclose","Receive/Shared with"
"30","FSD may transfer","Receive/Shared with"
"30","transfer","Receive/Shared with"
"31","we may use that information for any purpose or share it","Receive/Shared with"
"31","share","Receive/Shared with"
"6","available to everyone and may be displayed in search results on external search engines.","Receive/Shared with"
"9","other companies' websites or services","Other"
"9","other companies' websites or services","Other"
"9","other companies' websites or services","Other"
"9","other companies' websites or services","Other"
"10","may also use these technologies to collect similar information when you use the FSD Services","Track on first party website/app"
"10","or third party service","Other"
"10","may also use these technologies to collect similar information when you use the FSD Services","Track on first party website/app"
"10","or third party service","Other"
"10","may also use these technologies to collect similar information when you use the FSD Services","Track on first party website/app"
"10","or third party service","Other"
"12","supplement the information we collect with information from other sources, such as publicly available information from social media services, commercially available sources and information from our FSD Affiliates or business partners.","Other"
"19","you will be directed to a Payment Service web page.","Other"
"21","FSD may make your information we collect from and about you available to","Receive/Shared with"
"21","FSD may make your information we collect from and about you available to","Receive/Shared with"
"22","share information that we collect from or about you with","Receive/Shared with"
"22","we may need to share information about you with","Receive/Shared with"
"23","share","Receive/Shared with"
"23","share","Receive/Shared with"
"24","share","Receive/Shared with"
"25","our service providers collect from your use of other websites and services","Other"
"25","our service providers collect from your use of other websites and services","Other"
"25","our service providers collect from your use of other websites and services","Other"
"25","our service providers collect from your use of other websites and services","Other"
"27","share","Receive/Shared with"
"28","FSD may share","Receive/Shared with"
"29","disclose","Receive/Shared with"
"29","disclose","Receive/Shared with"
"29","disclose","Receive/Shared with"
"30","FSD may transfer","Receive/Shared with"
"31","share it with","Receive/Shared with"
