"4","share","Receive/Shared with"
"4","share your information","Receive/Shared with"
"4","we may use and share your information","Receive/Shared with"
"7","Share","Receive/Shared with"
"7","Share","Receive/Shared with"
"7","Share","Receive/Shared with"
"7","Share","Receive/Shared with"
"7","Share your information","Receive/Shared with"
"7","Share your information","Receive/Shared with"
"7","Share your information with certain third parties","Receive/Shared with"
"7","Share your information with certain third parties","Receive/Shared with"
"8","share","Receive/Shared with"
"8","share","Receive/Shared with"
"8","share","Receive/Shared with"
"8","hare your information","Receive/Shared with"
"8","hare your information","Receive/Shared with"
"8","Use and share your information with one or more MLB Clubs or entities","Receive/Shared with"
"9","sharing","Receive/Shared with"
"9","sharing","Receive/Shared with"
"9","Share your informatio","Receive/Shared with"
"9","Share your informatio","Receive/Shared with"
"9","Share your information upon notice posted on an applicable location of our Services where we collect your personal information","Receive/Shared with"
"10","share","Receive/Shared with"
"10","Use and share your information","Receive/Shared with"
"10","share","Receive/Shared with"
"11","share","Receive/Shared with"
"11","share your information","Receive/Shared with"
"11","Use and share","Receive/Shared with"
"12","share your information","Receive/Shared with"
"13","use","Receive/Shared with"
"13","use","Receive/Shared with"
"15","access these automatic data collection methods","Track on first party website/app"
"15","access these automatic data collection methods","Track on first party website/app"
"15","may allow certain third parties,","Track on first party website/app"
"15","may allow certain third parties,","Track on first party website/app"
"15","may allow certain third parties,","Track on first party website/app"
"15","to access these automatic data collection methods","Collect on first party website/app"
"16","to set cookies, web beacons or similar technologies in certain locations within the Services or certain emails sent by us.","Track on first party website/app"
"16","to set cookies, web beacons or similar technologies in certain locations within the Services or certain emails sent by us.","Track on first party website/app"
"16","to set cookies, web beacons or similar technologies in certain locations within the Services or certain emails sent by us.","Track on first party website/app"
"16","We allow select third parties, such as those who deliver advertisements, content, social networking or provide other services associated with our Services, to set cookies, web beacons or similar technologies","Collect on first party website/app"
"17","share","Receive/Shared with"
"17","share","Receive/Shared with"
"17","you permit us to share","Receive/Shared with"
"17","you permit us to share","Receive/Shared with"
"17","you permit us to share","Receive/Shared with"
"17","publish information about your activity on our Services,","See"
"17","Information we may share with a Social Network may include, but is not limited to: technical information about your Services activity, your Services comments or the videos you watch on our Services.","Receive/Shared with"
"18","collect","Collect on first party website/app"
"18","collect","Collect on first party website/app"
"18","third party service provider may collect your","Collect on first party website/app"
"18","third party service provider may collect your","Collect on first party website/app"
"18","we or our third party service provider may collect","Collect on first party website/app"
"19","share","Receive/Shared with"
"19","We may share","Receive/Shared with"
"19","We may share aggregated demographic information with third parties.","Receive/Shared with"
"20","transfer","Receive/Shared with"
"20","may be sold along with its assets, or other corporate transactions may occur. In such a case, our customer information may be one of the business assets we transfer.","Receive/Shared with"
"20","In such a case, our customer information may be one of the business assets we transfer.","Receive/Shared with"
"21","share","Receive/Shared with"
"21","share","Receive/Shared with"
"21","We may be required to share","Receive/Shared with"
"21","We may be required to share","Receive/Shared with"
"21","hare your personal and non-personal information","Receive/Shared with"
"21","hare your personal and non-personal information","Receive/Shared with"
"21","We may be required to share your personal and non-personal information pursuant to judicial or governmental subpoenas, warrants or orders.","Receive/Shared with"
"21","We may be required to share your personal and non-personal information pursuant to judicial or governmental subpoenas, warrants or orders.","Receive/Shared with"
"25","may be indexable by search engines or recorded by others,","See"
