"8","not shared with third parties other than the processor","Receive/Shared with"
"13","never shares your e-mail addresses with third parties without your consent","Receive/Shared with"
"19","shared","Receive/Shared with"
"8","Food Allergy Research & Education uses","Receive/Shared with"
"13","shares","Receive/Shared with"
"15","the website is accessible","See"
"8","shared with","Receive/Shared with"
"8","shared with","Receive/Shared with"
"8","shared with","Receive/Shared with"
"8","shared with","Receive/Shared with"
"13","shares","Receive/Shared with"
"13","shared","Receive/Shared with"
"19","shared with","Receive/Shared with"
