"1","collect information","Collect on first party website/app"
"1","third parties may collect information from our users at several different points on Kinja.","Collect on first party website/app"
"1","third parties may collect","Collect on first party website/app"
"2","may be used","Receive/Shared with"
"2","may be used","Receive/Shared with"
"2","may be used","Receive/Shared with"
"2","Your personal and contact information will not be passed to any other organization.","Receive/Shared with"
"2","will not be passed to any other organization","Receive/Shared with"
"3","except in aggregate form.","Receive/Shared with"
"4","elp us understand how you use the Services","Track on first party website/app"
"4","elp us understand how you use the Services","Track on first party website/app"
"4","elp us understand how you use the Services","Track on first party website/app"
"4","may use cookies, web beacons, HTML5 local storage, java script, and other similar technologies","Track on first party website/app"
"4","may use cookies, web beacons, HTML5 local storage, java script, and other similar technologies","Track on first party website/app"
"4","may use cookies, web beacons, HTML5 local storage, java script, and other similar technologies","Track on first party website/app"
"5","collect","Collect on first party website/app"
"5","collect any personally identifiable information","Collect on first party website/app"
"5","do not collect","Collect on first party website/app"
"6","place ""cookies"" on your computer, or otherwise gather information about you","Track on first party website/app"
"6","may place ""cookies""","Track on first party website/app"
"10","Data that we collec","Unspecified"
"10","may be shared with some other third parties","Receive/Shared with"
"10","Data that we collect may be shared with some other third parties","Receive/Shared with"
"11","distribute cookies","Track on first party website/app"
"11","distribute cookies to users in advertisements that are provided to us.","Track on first party website/app"
"11","may distribute cookies","Collect on first party website/app"
"12","affiliate partners may use cookies","Track on first party website/app"
"12","may use cookies","Track on first party website/app"
"13","provide","Receive/Shared with"
"13","provide","Receive/Shared with"
"13","does not provide","Receive/Shared with"
"13","provide","Receive/Shared with"
"13","hat if an advertiser asks Kinja to show an advertisement to users with certain characteristics (for example, women ages 18-24) or a segment of that group (for example, women ages 18-24 who have viewed certain categories of content) and you respond to that advertisement","Receive/Shared with"
"17","transferred","Receive/Shared with"
"17","will, in most instances, be part of the assets transferred.","Receive/Shared with"
"17","users' personal information will, in most instances, be part of the assets transferred.","Receive/Shared with"
"18","sharing","Receive/Shared with"
"18","may require sharing your personal information","Receive/Shared with"
"18","sharing your personal information with us or third parties","Receive/Shared with"
"19","may need to disclose","Receive/Shared with"
"19","Though we make every effort to preserve user privacy, Kinja may need to disclose personal information when required by law wherein we have a good-faith belief that such action is necessary to comply with a current judicial proceeding, a court order or legal process served on Kinja or affiliates.","Receive/Shared with"
"19","Kinja may need to disclose personal information when required by law","Receive/Shared with"
