"8","share","Receive/Shared with"
"8","share such information with third parties","Receive/Shared with"
"8","share","Receive/Shared with"
"9","disclose","Receive/Shared with"
"9","disclose","Receive/Shared with"
"9","We may disclose","Receive/Shared with"
"9","isclose","Receive/Shared with"
"10","forward","Receive/Shared with"
"10","When you request a magazine, service, or other product, we will forward the information you give us to the publisher or provider to the extent necessary to fulfill your request.","Receive/Shared with"
"10","we will forward","Receive/Shared with"
"12","we may publish your name, screen name and other information you have provided to us.","See"
"12","publis","See"
"15","disclose","Receive/Shared with"
"15","We will disclose information we maintain when required to do so by law, for example, in response to a court order or a subpoena. We also may disclose such information in response to a law enforcement agency's request.","Receive/Shared with"
"15","disclose","Receive/Shared with"
"16","have access to personally identifiable information","Receive/Shared with"
"16","access","Receive/Shared with"
"17","transfer","Receive/Shared with"
"17","transfer","Receive/Shared with"
"17","transfer","Receive/Shared with"
"17","We may transfer your personally identifiable information to other Time Inc. offices for internal management and administrative purposes on our behalf. Your personal data will be transferred to other Time Inc. offices where necessary for the performance or conclusion of our contractual obligations to you or for your benefit.","Receive/Shared with"
"17","y transfe","Receive/Shared with"
"17","y transfe","Receive/Shared with"
"18","sold","Receive/Shared with"
"18","may, in whole or in part, be sold, disposed of, transferred, divested, or otherwise disclosed as part of that transaction or proceeding.","Receive/Shared with"
"18","Please note that if Time Inc. or any of its subsidiaries or lines of business is merged, acquired, divested, financed, sold, disposed of or dissolved, including through merger of, consolidation, sale or divestiture of assets, the relevant customer database, including personally identifiable information we may possess about you, may, in whole or in part, be sold, disposed of, transferred, divested, or otherwise disclosed as part of that transaction or proceeding","Receive/Shared with"
"22","transfer","Receive/Shared with"
"22","will not use or transfer","Receive/Shared with"
"25","provided","Receive/Shared with"
"25","provided","Receive/Shared with"
"25","By virtue of your participation in such activities or offerings, your IP address","Receive/Shared with"
"25","By virtue of your participation in such activities or offerings, your IP address","Receive/Shared with"
"25","may be provided to both the Time Inc. site and the third partie","Receive/Shared with"
"25","may be provided to both the Time Inc. site and the third partie","Receive/Shared with"
"26","collected","Track on first party website/app"
"26","collected","Track on first party website/app"
"26","collected","Track on first party website/app"
"35","deployed","Track on first party website/app"
"35","These tracking technologies may be deployed","Collect on first party website/app"
