"19","We receive information","Receive/Shared with"
"19","We receive information","Receive/Shared with"
"19","We receive information","Receive/Shared with"
"19","We receive information","Receive/Shared with"
"21","transfer or share your personal information within our corporate family of companies, such as with Sam's Club,","Receive/Shared with"
"21","We also transfer or share","Receive/Shared with"
"22","sell or rent","Other"
"22","share","Receive/Shared with"
"22","share","Receive/Shared with"
"22","share","Receive/Shared with"
"22","We may share your personal information","Receive/Shared with"
"22","We may share your personal information","Receive/Shared with"
"22","We may share your personal information","Receive/Shared with"
"23","share your personal information","Receive/Shared with"
"23","share","Receive/Shared with"
"24","We share","Receive/Shared with"
"24","share personal information about you with service providers","Receive/Shared with"
"24","share","Receive/Shared with"
"25","share with these businesses personal information related to your purchase of their products and services.","Receive/Shared with"
"25","share with these businesses","Receive/Shared with"
"26","share your personal information","Receive/Shared with"
"26","share your personal information","Receive/Shared with"
"26","We may share your personal information","Receive/Shared with"
"26","share","Receive/Shared with"
"26","share","Receive/Shared with"
"27","personal information about you could be shared","Receive/Shared with"
"27","personal information about you could be shared with the successor business.","Receive/Shared with"
"27","shared with","Receive/Shared with"
"28","sell or rent","Other"
"28","we will ask for your affirmative consent before we share your personal information outside of our corporate family of companies, and we also will not sell or rent your personal information.","Receive/Shared with"
"28","sell or rent","Receive/Shared with"
"38","We belong to ad networks that may use your browsing history across participating websites and mobile services to show you interest-based advertisements.","Track on first party website/app"
"38","share","Receive/Shared with"
"58","share","Receive/Shared with"
"58","share","Receive/Shared with"
