"1","sell","Receive/Shared with"
"1","rent, sell, or share","Receive/Shared with"
"1","share","Receive/Shared with"
"1","share","Receive/Shared with"
"7","serve ads and/or collect certain information when you visit our website.","Track on first party website/app"
"7","ValueClick may use cookies or web beacons to collect non-personally identifiable information during your visit to this website i","Collect on first party website/app"
"7","to help show advertisements on other websites","Other"
"7","collect certain information when you visit our website","Collect on first party website/app"
"9","share","Receive/Shared with"
"9","share","Receive/Shared with"
"9","We reserve the right to share information in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, violations of the Geekdo Terms of Service, situations involving potential threats to the physical safety of any person","Receive/Shared with"
"9","We reserve the right to share information in order to investigate, prevent, or take action regarding illegal activities, suspected fraud, violations of the Geekdo Terms of Service, situations involving potential threats to the physical safety of any person","Receive/Shared with"
"9","share information","Receive/Shared with"
"9","share information","Receive/Shared with"
