"2","We may share","Receive/Shared with"
"2","We may share","Receive/Shared with"
"6","is used","Unspecified"
"7","serve you cookies as well","Collect on first party website/app"
"1","DISCLOSE","Receive/Shared with"
"6","used","Track on first party website/app"
"1","DISCLOSE","Receive/Shared with"
"1","DISCLOSE","Receive/Shared with"
"2","share","Receive/Shared with"
"2","share","Receive/Shared with"
"6","Information about your visit to their site","Unspecified"
"7","may serve you cookies","Unspecified"
