"8","use or share contest information","Receive/Shared with"
"8","use or share contest information","Receive/Shared with"
"8","share","Receive/Shared with"
"9","if you disclose personally identifiable information in your review, that information is public information","See"
"9","public information","See"
"10","Like many websites, we may use tracking pixels/web beacons, ""cookies"", or other technologies to receive and store certain information, and this information may also be used by certain third-party advertisers","Track on first party website/app"
"10","may also be used by certain third-party advertisers with which we have agreements.","Receive/Shared with"
"10","this information may also be used by","Unspecified"
"10","this information may also be used by","Unspecified"
"16","They may be recognized by other sites or by our marketing or business partners.","Track on first party website/app"
"17","share","Receive/Shared with"
"17","share","Receive/Shared with"
"17","we may share","Receive/Shared with"
"17","share your","Receive/Shared with"
"18","share","Receive/Shared with"
"18","will be shared with","Receive/Shared with"
"18","We may share","Receive/Shared with"
"18","will be shared with","Receive/Shared with"
"19","order fulfillment, package delivery, postal mail and email communications, customer lists management, data analysis, marketing services and assistance which may include content and ads presented on other websites or mobile applications, credit card processing, and customer relationship management","Receive/Shared with"
"19","have access to","Receive/Shared with"
"19","have access to","Receive/Shared with"
"19","have access to","Receive/Shared with"
"21","provide any information","Receive/Shared with"
"21","We may provide any information we have to a potential counter-party in any such potential transaction.","Receive/Shared with"
"21","provide","Receive/Shared with"
"22","release your account and other personal information","Receive/Shared with"
"22","release your account and other personal information","Receive/Shared with"
"22","release your account and other personal information","Receive/Shared with"
"22","may be released or exchanged","Receive/Shared with"
"22","may provide","Receive/Shared with"
"22","release","Receive/Shared with"
"22","release","Receive/Shared with"
"22","release","Receive/Shared with"
"22","release","Receive/Shared with"
"23","If we want to share","Receive/Shared with"
"23","share","Receive/Shared with"
"23","share","Receive/Shared with"
"24","is sent to the","Receive/Shared with"
"24","sent to","Receive/Shared with"
"25","is collected by","Other"
"25","We work with","Unspecified"
"26","shares","Receive/Shared with"
"26","you are often invited to participate in a survey to rate your experience.","Collect on first party website/app"
"26","you are often invited to participate in a survey to rate your experience.","Collect on first party website/app"
"27","we will forward","Receive/Shared with"
"27","we will forward","Receive/Shared with"
"27","we will forward","Receive/Shared with"
"27","we will forward","Receive/Shared with"
"28","They automatically receive your IP address when this happens.","Collect on first party website/app"
"28","based on their tracking of what content you looked at or interacted with on our Websites","Track on first party website/app"
"28","automatically receive","Collect on first party website/app"
"28","may also download cookies to your computer","Track on first party website/app"
"28","have no access to your contact information stored by GameStop unless you choose to share it with them.","Receive/Shared with"
"28","They automatically receive","Track on first party website/app"
"28","download cookies to your computer","Track on first party website/app"
"28","download cookies to your computer","Track on first party website/app"
"28","based on their tracking of what content you looked at or interacted with on our Websites.","Track on first party website/app"
"28","access to","Unspecified"
"30","These companies may use aggregated information (not including your name, address, email address or telephone number) about your visits to this and other Websites in order to provide advertisements about goods and services of interest to you.","Track on first party website/app"
"30","may use aggregated information (not including your name, address, email address or telephone number) about your visits to this and other Websites","Collect on first party website/app"
"31","transmit","Receive/Shared with"
