"5","our third party service providers may use a variety of technologies that automatically collect certain non-personal information when you interact with the Sites or emails sent to you,","Collect on first party website/app"
"18","e do not use or disclose","Receive/Shared with"
"18","we may provide your personal information to","Receive/Shared with"
"18","use or disclose","Receive/Shared with"
"18","provide","Receive/Shared with"
"18","sell or rent","Other"
"19","These entities have access to your personal information only as needed to perform their functions","Receive/Shared with"
"19","These entities have access to your personal information","See"
"19","These entities have access to your personal information","See"
"19","These entities have access to your personal information","See"
"19","These entities have access to your personal information","See"
"20","We may share your personal information with certain third parties with whom we do business, such as our authors or promotional co-sponsors","Receive/Shared with"
"20","share","Receive/Shared with"
"21","We manage certain author Sites on behalf of our authors. In those cases, we may transfer personal information collected from the Sites to the authors if they take over management of the Sites (in which case, such sites are no longer controlled by us).","Receive/Shared with"
"21","transfer","Receive/Shared with"
"22","We may share your personal information with our corporate parents and other affiliated entities","Receive/Shared with"
"22","We may share your personal information with our corporate parents and other affiliated entities","Receive/Shared with"
"22","share","Receive/Shared with"
"22","share","Receive/Shared with"
"22","share","Receive/Shared with"
"23","We may also use or disclose","Receive/Shared with"
"23","We may also use or disclose","Receive/Shared with"
"23","use or disclose","Receive/Shared with"
"23","use or disclose","Receive/Shared with"
"24","Non-Personal Information Nothing in this Privacy Policy is intended to restrict our use of your non-personal information, and we may disclose or share non-personal information in any manner that we deem appropriate or necessary.","Receive/Shared with"
"24","disclose or share","Receive/Shared with"
"34","We may share","Receive/Shared with"
"34","We may share","Receive/Shared with"
"37","Our Sites may contain content hosted or served by third parties or link to websites operated by affiliates of PRH or third parties. Please be advised that the practices described in this Privacy Policy for PRH do not apply to information gathered by these third parties.","Unspecified"
"38","Please remember that any information you share in public areas, such as forums, message boards or feedback sections, becomes public and anyone may take and use that information.","See"
"38","share","Receive/Shared with"
"40","We may also sell certain assets associated with the Sites. As a result, please be aware that in such event we may transfer some or all of your information to a company acquiring all or part of our assets or to another company","Receive/Shared with"
"40","we may transfer","Receive/Shared with"
"5","when you interact with the Sites","Receive/Shared with"
"5","or emails sent to you,","Other"
"5","when you interact with the Sites","Receive/Shared with"
"5","or emails sent to you,","Other"
"12","across other websites in their networks beyond our Sites.","Other"
"18","use or disclose","Receive/Shared with"
"18","we may provide","Receive/Shared with"
"18","sell or rent","Other"
"19","have access to","Collect on first party website/app"
"20","We may share","Receive/Shared with"
"20","We may share","Receive/Shared with"
"21","we may transfer personal information collected from the Sites to","Receive/Shared with"
"22","We may share","Receive/Shared with"
"22","We may share","Receive/Shared with"
"22","We may share","Receive/Shared with"
"23","We may also use or disclose","Receive/Shared with"
"23","We may also use or disclose","Receive/Shared with"
"34","We may share","Receive/Shared with"
"34","We may share","Receive/Shared with"
"34","We may share","Receive/Shared with"
"40","we may transfer","Receive/Shared with"
