"4","Some Smithsonian Websites use third-party vendors, such as Google Analytics, to place cookies and analyze the information collected by cookies","Track on first party website/app"
"4","place cookies and analyze the information collected by cookies","Collect on first party website/app"
"5","reporting feature","Receive/Shared with"
"6",", we will not share","Receive/Shared with"
"6","share","Receive/Shared with"
"8","will have access to the information","Receive/Shared with"
"8","Some Smithsonian units, on occasion, rent or exchange","Receive/Shared with"
"8","will have access to the information needed to perform their functions","See"
"8","rent or exchange","Other"
"10","also may provide","Receive/Shared with"
"10","also may provide","Receive/Shared with"
"10","provide your information","Receive/Shared with"
"10","provide your information","Receive/Shared with"
"4","to place cookies and analyze the information collected by cookies","Track on first party website/app"
"8","will have access to","Receive/Shared with"
"8","rent or exchange","Receive/Shared with"
"10","may provide","Receive/Shared with"
"10","may provide","Receive/Shared with"
"10","may provide","Receive/Shared with"
