"1","They may collect","Collect on first party website/app"
"1","They may collect","Collect on first party website/app"
"3","We may share","Receive/Shared with"
"3","We may share","Receive/Shared with"
"3","We may share","Receive/Shared with"
"1","visits to our website","Track on first party website/app"
"3","We may share","Receive/Shared with"
"3","We may share","Receive/Shared with"
"3","share","Receive/Shared with"
"3","share","Receive/Shared with"
"3","share","Receive/Shared with"
"3","share","Receive/Shared with"
"3","share","Receive/Shared with"
