"6","release","Receive/Shared with"
"7","We may share","Receive/Shared with"
"7","We may share","Receive/Shared with"
"15","We may disclose","Receive/Shared with"
"15","We may disclose","Receive/Shared with"
"15","We may disclose","Receive/Shared with"
"16","We may disclose","Receive/Shared with"
"17","We may disclose","Receive/Shared with"
"17","We may disclose","Receive/Shared with"
"18","We may disclose and transfer","Other"
"18","The AAAS may also share","Receive/Shared with"
"4","may be displayed to","See"
"6","release","Receive/Shared with"
"6","release","Receive/Shared with"
"7","We may share","Receive/Shared with"
"7","We may share","Receive/Shared with"
"15","disclose","Receive/Shared with"
"15","disclose","Receive/Shared with"
"15","disclose","Receive/Shared with"
"15","We may disclose","Receive/Shared with"
"15","we may use data we have about you (such as the interests and preferences you have expressed) to determine whether you might be interested in the products or services of a particular third party.","Unspecified"
"16","We may disclose","Receive/Shared with"
"16","will have access","Other"
"17","We may disclose","Receive/Shared with"
"18","We may disclose and transfer","Other"
"18","the AAAS or its trustee in bankruptcy may sell, license, or otherwise dispose","Other"
"18","The AAAS may also share","Receive/Shared with"
"4","displayed","See"
"4","collected and used","Collect on first party website/app"
"6","release","Receive/Shared with"
"7","share","Receive/Shared with"
"7","share","Receive/Shared with"
"15","disclose to","Receive/Shared with"
"15","disclose to","Receive/Shared with"
"15","disclose to","Receive/Shared with"
"16","disclose","Receive/Shared with"
"16","disclose","Receive/Shared with"
"16","disclose","Receive/Shared with"
"17","We may disclose","Receive/Shared with"
"17","We may disclose","Receive/Shared with"
"18","We may disclose and transfer","Receive/Shared with"
"18","The AAAS may also share","Receive/Shared with"
"18","The AAAS may also share","Receive/Shared with"
"19","can be searched by","See"
"20","have access to","See"
