"5","shared with","Receive/Shared with"
"6","can be read, collected or used","Collect on first party website/app"
"15","share","Receive/Shared with"
"16","These third parties have access to","Unspecified"
"5","will only be shared with third parties who perform tasks required to complete the purchase transaction.","Receive/Shared with"
"6","can be read, collected or used","Other"
"15","share","Receive/Shared with"
"16","have access to your information only to perform these tasks on our behalf.","Receive/Shared with"
"16","have access to your information only to perform these tasks on our behalf.","Receive/Shared with"
"16","have access to your information only to perform these tasks on our behalf.","Receive/Shared with"
"16","have access to your information only to perform these tasks on our behalf.","Receive/Shared with"
"19","may independently collect data about you, including your IP address and information about the websites you visit and the links you click, through cookies, clicks on links, or other means when you visit or view ads on the site.","Collect on first party website/app"
"19","may independently collect data about you, including your IP address and information about the websites you visit and the links you click, through cookies, clicks on links, or other means when you visit or view ads on the site.","Collect on first party website/app"
"19","may independently collect data about you, including your IP address and information about the websites you visit and the links you click, through cookies, clicks on links, or other means when you visit or view ads on the site.","Collect on first party website/app"
"19","may independently collect data about you, including your IP address and information about the websites you visit and the links you click, through cookies, clicks on links, or other means when you visit or view ads on the site.","Collect on first party website/app"
"5","shared with","Receive/Shared with"
"5","shared with","Receive/Shared with"
"6","can be read, collected or used by other users of these areas, and could be used to send you unsolicited messages.","See"
"15","share","Receive/Shared with"
"16","These third parties have access to your information","Receive/Shared with"
"19","through cookies, clicks on links, or other means when you visit or view ads on the site.","Track on first party website/app"
"19","through cookies, clicks on links, or other means when you visit or view ads on the site.","Track on first party website/app"
"19","through cookies, clicks on links, or other means when you visit or view ads on the site.","Track on first party website/app"
"19","through cookies, clicks on links, or other means when you visit or view ads on the site.","Track on first party website/app"
