"16","sell, rent, or swap","Receive/Shared with"
"19","we contract with","Unspecified"
"21","have access to","Unspecified"
"22","will be shared by PBS or by such PBS Member Stations","Receive/Shared with"
"23","we make customer mailing lists available to","Receive/Shared with"
"24","may release","Receive/Shared with"
"24","may release","Receive/Shared with"
"16","willfully disclose","Receive/Shared with"
"19","we contract","Receive/Shared with"
"21","have access","Receive/Shared with"
"22","shared by PBS or by such PBS Member Stations","Receive/Shared with"
"23","we make customer mailing lists available","Receive/Shared with"
"24","may release","Receive/Shared with"
"25","We are not responsible for any personally identifiable information that you choose to disclose in these public areas.","See"
"16","willfully disclose","Receive/Shared with"
"16","willfully disclose","Receive/Shared with"
"16","sell, rent, or swap","Receive/Shared with"
"21","access to","See"
"21","access to","See"
"22","shared","Receive/Shared with"
"22","share","Receive/Shared with"
"24","release","Receive/Shared with"
"24","release","Receive/Shared with"
"25","becomes public","See"
"25","becomes public","See"
"25","becomes public","See"
