"3","Collect","Collection"
"3","Collect","Collection"
"3","Collect","Collection"
"7","share","Collection"
"7","share","Collection"
"9","shared with one or more of the auto lead companies shown on the Car Quotes Information Page displayed to you when you submit your request. These auto lead companies may share that personally identifiable information with the dealer(s) youve selected and with other third parties who offer goods and services that they determine may be of interest to you.","Both"
"9","consenting to have your personally identifiable information shared","Collection"
"11","these messages.","Use"
"12","receive any newsletters or updates from us through our Sites,","First party use"
"12","receive any newsletters or updates from us through our Sites,","First party use"
"12","receive any newsletters","First party use"
"12","receive any newsletters","First party use"
"19","collection and use of certain information collected through these technologies, as described below.","First party use"
"19","collection and use of certain information collected through these technologies, as described below.","First party collection"
"19","collection and use of certain information collected through these technologies, as described below.","First party use"
"19","accept cookies","First party collection"
"20","now your choices about not having this information used by participating companies","Use"
"20","now your choices about not having this information used by participating companies","Use"
"26","opt out of the service","First party use"
"26","opt out of the service","First party use"
"27","share","Collection"
"3","to provide","First party collection"
"12","opt-out of those communications","First party use"
"12","opt-out of those communications","First party use"
"26","opt out of the service","First party use"
"26","opt out of the service","First party use"
