"4","generally collects","Collection"
"4","generally collects","Collection"
"4","generally collects","Collection"
"4","generally collects","Collection"
"4","generally collects","Collection"
"4","generally collects","Collection"
"6","receive","Collection"
"6","receive","Collection"
"6","information your third party social networking services may make available to our Service","Third party sharing/collection"
"6","your third party social networking services may make available to our Service","Collection"
"7","We use personally identifiable information you supply through the Service","Both"
"7","We use personally identifiable information you supply through the Service","Both"
"7","We use personally identifiable information you supply through the Service","Both"
"7","We use personally identifiable information you supply through the Service","Both"
"8","shared","Use"
"8","shared","Use"
"8","shared","Use"
"8","shared","Use"
"8","shared","Use"
"8","shared","Use"
"8","(But note that you may continue to receive certain communications from us, such as transactional or relationship messages, and/or messages about your account/profile).","Use"
"9","used by us","Use"
"17","Local Device Storage","First party use"
"17","that allows you to not accept it","First party collection"
"19","third party tracking on the Service","Third party sharing/collection"
"20","advertising","Use"
"20","advertising","Use"
"20","advertising","Use"
"20","advertising","Use"
"20","The use of Tracking Technologies by third parties is subject to their own privacy policies, not this Privacy Policy, and we have no responsibility or liability in connection therewith. If you do not want the services that Tracking Technologies provide,","Third party use"
"20","The use of Tracking Technologies by third parties","Third party use"
"21","Your information may be transferred to, and maintained on, servers and databases located outside of your state, province, country or other governmental jurisdiction where the privacy laws may not be as protective as your jurisdiction. Please be advised that we may transfer your information to and from any state, province, country or other governmental jurisdiction, and process it in the United States or elsewhere.","First party use"
"30","opt-out of having your personally identifiable information shared with third parties","Third party sharing/collection"
"30","to opt-out of our sharing with third parties.","Third party sharing/collection"
"31","if you wish to request updates or changes to your information or your preferences regarding receiving future promotional messages from us,","First party use"
"1","Third Party Sharing","Third party sharing/collection"
"1","Third Party Tracking Technologies","Third party sharing/collection"
"8","to have your personally identifiable information shared with third parties","Use"
"8","to receive future commercial messages from us,","Use"
"9","we may forward your information to third parties","Collection"
"9","we may forward your information to third parties","Collection"
"17","If you do not want Local Device Storage","First party collection"
"19","third party tracking","Third party sharing/collection"
"20","If you do not want the services that Tracking Technologies provide","Use"
"20","If you do not want the services that Tracking Technologies provide","Use"
"20","If you do not want the services that Tracking Technologies provide","Use"
"20","If you do not want the services that Tracking Technologies provide","Use"
"20","If you do not want the services that Tracking Technologies provide","Use"
"20","If you do not want the services that Tracking Technologies provide","Use"
"30","opt-out of having your personally identifiable information shared with third parties for their marketing purposes.","Third party sharing/collection"
"31","preferences regarding receiving future promotional messages","First party use"
