"8","Service-related e-mails.","Use"
"17","rent or sell","Use"
"32","Unsubscribe from email communications","First party use"
"2","but we want to make sure you understand that you still have control over who sees your photos","First party use"
"2","You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love.","First party use"
"5","By using our Service you understand and agree that we are providing a platform for you to post content, including photos, comments and other materials (""User Content""), to the Service and to share User Content publicly. This means that other Users may search for, see, use, or share any of your User Content that you make publicly available through the Service, consistent with the terms and conditions of this Privacy Policy and our Terms of Use (which can be found at http://instagram.com/about/legal/terms/).","First party use"
"23","as controlled by any applicable privacy settings that you set. To change your privacy settings on the Service, please change your profile setting.","First party use"
"32","communications","First party use"
"2","You still get to choose who can see your Instagram photos,","Third party sharing/collection"
"2","you still get to choose whether you post your photos on Facebook.","Third party sharing/collection"
"5","we are providing a platform for you to post content, including photos, comments and other materials (""User Content""), to the Service and to share User Content publicly.","Collection"
"5","we are providing a platform for you to post content, including photos, comments and other materials (""User Content""), to the Service and to share User Content publicly.","Collection"
"5","we are providing a platform for you to post content, including photos, comments and other materials (""User Content""), to the Service and to share User Content publicly.","Collection"
"8","Information you provide us","Collection"
"8","Information you provide us","Collection"
"8","Information you provide us","Collection"
"8","Information you provide us","Collection"
"8","Information you provide us","Collection"
"8","Service-related e-mails.","Use"
"9","Instagram will access your contacts list","Collection"
"9","any information that such service may provide to us","Collection"
"9","type a name","Collection"
"10","send a text or email from your personal account.","First party use"
"15","Metadata can describe how, when and by whom a piece of User Content was collected and how that content is formatted.","First party collection"
"15","Metadata can describe how, when and by whom a piece of User Content was collected and how that content is formatted.","First party collection"
"16","Instagram","First party collection"
"16","Instagram","First party collection"
"17","rent or sell your information","Use"
"17","rent or sell your information","Use"
"17","rent or sell your information","Use"
"17","rent or sell your information","Use"
"19","But these Affiliates will honor the choices you make about who can see your photos.","Use"
"19","But these Affiliates will honor the choices you make about who can see your photos.","Use"
"19","But these Affiliates will honor the choices you make about who can see your photos.","Use"
"19","But these Affiliates will honor the choices you make about who can see your photos.","Use"
"19","But these Affiliates will honor the choices you make about who can see your photos.","Use"
"19","But these Affiliates will honor the choices you make about who can see your photos.","Use"
"23","To change your privacy settings on the Service,","Collection"
"23","To change your privacy settings on the Service,","Collection"
"23","To change your privacy settings on the Service,","Collection"
"23","To change your privacy settings on the Service,","Collection"
"23","any User Content that you make public","Collection"
"29","to the transfer of information","Third party sharing/collection"
"32","Update your account","Unspecified"
"32","Unsubscribe from email communications from us","First party use"
"32","Service-related communications","First party use"
