"3","personal information you supply","Collection"
"3","personal information you supply","Collection"
"3","personal information you supply","Collection"
"3","personal information you supply","Collection"
"4","may require that you supply certain personal information","Collection"
"4","may require that you supply certain personal information","Collection"
"5","we collect","Collection"
"5","we collect","Collection"
"6","you should be aware that any personal information you submit can be read, collected and used by other users.","Both"
"6","you disclose","Collection"
"7",", you are electing to share and display such public activities via our Web Sites. Furthermore, public activities may be included in RSS feeds, APIs and made available to other websites via other formats. As a result, your public activities may appear on other websites, blogs, or feeds.","Both"
"9","collect","Collection"
"10","If this information is also being collected by a third party other than SIDEARM Sports,","Collection"
"10","may collect","Collection"
"10","If you do not want any personal information shared","Collection"
"11","shared,","Collection"
"11","may collect","Collection"
"11","may collect","Collection"
"11","shared","Collection"
"16","All data collected by Google Analytics on our behalf is owned and used by us.","Both"
"19","will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.","Both"
"19","If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.","Collection"
"23","d if you do not accept cookies served by third parties.","Third party sharing/collection"
"24","use","Use"
"24","use","Use"
"29","to use your email address or any information that personally identifies you","Use"
"29","to use your email address or any information that personally identifies you","Use"
"30","our use of aggregated or de-identified information in any way.","Use"
"35","We will not send you marketing messages if you have opted out.","Use"
"35","to use","Use"
"35","send you marketing messages","First party use"
"37","If you no longer wish to receive a specific newsletter,","First party use"
"37","SIDEARM offers several email newsletters.","First party use"
"38","We may periodically email you","Use"
"38","periodically email you messages about products and services that we think may be of interest to you","First party use"
"39","shared","Collection"
"40","If you select the HTML format, we may place a one-pixel gif to determine whether or not readers viewed the email.","First party collection"
"40","share","Collection"
"41","use","Use"
"42","these addresses are not used for any other purpose, and will not be shared with any third parties.","Both"
"42","email addresses that you supply","Collection"
"46","Except for Kids Club Registrations or similar alternatives, including, but not limited to, camps, SIDEARM Sports does not knowingly collect","Collection"
"47","collect","Collection"
"50","Under the California ""Shine The Light"" law, California residents may opt-out of SIDEARM's disclosure of personal information to third parties for their direct marketing purposes.","Third party sharing/collection"
"3","personal information you supply","Collection"
"3","personal information you supply","Collection"
"4","you supply certain personal information","Collection"
"4","you supply certain personal information","Collection"
"6","information you submit","Collection"
"6","information you submit","Collection"
"6","information you submit","Collection"
"6","information you submit","Collection"
"6","information you submit","Collection"
"6","information you submit","Collection"
"7","share and display such public activities via our Web Sites.","Collection"
"7","sharing","Use"
"10","collect personal information from you","Collection"
"10","If you do not want any personal information shared,","Collection"
"11","collect personal information from you","Collection"
"11","collect personal information from you","Collection"
"14","accept cookies","Collection"
"14","accept cookies","Collection"
"14","accept cookies","Collection"
"14","accept cookies","Collection"
"19","to enable that feature of the app","Collection"
"20","user provided location information","Collection"
"23","do not accept cookies served by third parties.","Third party sharing/collection"
"26","requested services","Use"
"29","sell, rent, swap or authorize any third party to use","Both"
"29","sell, rent, swap or authorize any third party to use","Both"
"35","We will not send you marketing messages if you have opted out.","First party use"
"35","share, sell, rent, swap or authorize any third party to use","Both"
"35","share, sell, rent, swap or authorize any third party to use","Both"
"37","SIDEARM offers several email newsletters. If you no longer wish to receive a specific newsletter,","First party use"
"38","You can choose not to receive messages in the future","First party use"
"39","inviting you to participate in user surveys, asking for feedback on our Web Sites and existing or prospective products and services, as well as information to better understand our users.","Collection"
"39","inviting you to participate in user surveys, asking for feedback on our Web Sites and existing or prospective products and services, as well as information to better understand our users.","Collection"
"41","send us emails","Collection"
"42","to this service","Collection"
"42","to this service","Collection"
"47","We do not collect personally identifiable information on our Web Sites from children under the age of 13 without prior parental consent.","Collection"
"48","certain personal information","Collection"
"48","their child's e-mail address from the applicable database for that activity.","Both"
"48","their child's e-mail address from the applicable database for that activity.","Both"
"50","you may choose to opt-out of the sharing of your personal information with third parties","Third party sharing/collection"
