"5","you can submit","Collection"
"20","raditional mail or other off-line promotions from this or any other Time Inc. property,","First party use"
"20","opt-out of any sharing of your personally identifiable offline information with third parties not owned by Time Inc","Third party sharing/collection"
"20","If you prefer not to receive traditional mail or other off-line promotions from this or any other Time Inc. property,","First party use"
"20","if you want to opt-out of any sharing of your personally identifiable offline information with third parties","Third party sharing/collection"
"20","ny sharing of","Third party sharing/collection"
"20","If you prefer not to receive traditional mail or other off-line promotions","First party use"
"21","e-mail marketing from this or any other Time Inc. property","First party use"
"21","opt-out of any sharing of your email address with third parties not owned by Time Inc","Third party sharing/collection"
"21","If you prefer not to receive e-mail marketing from this or any other Time Inc","First party use"
"21","or if you want to opt-out of any sharing of your email address with third parties","Third party sharing/collection"
"21","receive e-mail marketing from this or any other Time Inc. property","First party use"
"21","any sharing of your email addre","Third party sharing/collection"
"22","Time Inc. sites will not use or transfer personally identifiable information provided to us in ways unrelated to the ones described above without also providing you with an opportunity to opt out of these unrelated uses.","First party use"
"23","As discussed above, if you wish to opt-out of our sharing of your information with third parties for the third parties' direct marketing purposes offline please click here, or for email please click here.","Third party sharing/collection"
"30","You can set your browser option so that you will not receive cookies and you can also delete existing cookies from your browser.","First party collection"
"38","By contacting us, you may also object to our further use of your personal information if you have compelling legitimate grounds","First party use"
