"3","you explicitly consent","Unspecified"
"13","Most browsers are initially set up to accept cookies. You can reset your browser to refuse all cookies or to indicate when a cookie is being sent;","Unspecified"
"13","you will not be able to sign in","Unspecified"
"20","provide a simple way to opt-out of ad targeting from participating companies.","Third party sharing/collection"
"22","We offer you the opportunity to choose not to receive communications from us.","First party use"
"22","f you would like to take advantage of this opportunity, please let us know by accessing and updating your profile.","First party use"
"23","if you delete certain information you may not be able to order services in the future without re-submitting such information.","First party collection"
"6","telling us who you are or revealing any information","First party collection"
"6","submit","Collection"
"6","submit","Collection"
"6","submit","Collection"
"6","share with other users of the Services","Third party sharing/collection"
"6","share with other users of the Services","Third party sharing/collection"
"6","share with other users of the Services","Third party sharing/collection"
"7","with any third party","Third party sharing/collection"
"7","with any third party","Third party sharing/collection"
"7","with any third party","Third party sharing/collection"
"7","with any third party","Third party sharing/collection"
"12","to share","Use"
"12","to make certain Shared Information (such as your alias, bio, email or photos) publicly available.","Third party sharing/collection"
"12","to make certain Shared Information (such as your alias, bio, email or photos) publicly available.","Third party sharing/collection"
"12","to make certain Shared Information (such as your alias, bio, email or photos) publicly available.","Third party sharing/collection"
"12","post information that will be available to all other users","Third party sharing/collection"
"12","post information that will be available to all other users","Third party sharing/collection"
"12","access, use, and disclose","Both"
"12","access, use, and disclose","Both"
"13","to refuse all cookies or to indicate when a cookie is being sent","Collection"
"13","to refuse all cookies or to indicate when a cookie is being sent","Collection"
"20","ad targeting","Use"
"21","to: (a) locate your hardware; (b) record, compile and display your location; and (c) publish your location to third parties designated by you by means of location publication controls available within the applications","Use"
"22","receive communications from us.","First party use"
"22","send you administrative messages","Use"
"22","send you administrative messages","Use"
