"8","Contact/Registration information","Collection"
"9","you may provide","Collection"
"10","Information that you provide","Collection"
"13","k to collect the information about you as described above, or you don't want to a social network to share it with us and other third parties","Collection"
"13","collect","Collection"
"13","collect","Collection"
"13","collect","Collection"
"13","collect","Collection"
"13","collect","Collection"
"14","we have access","Collection"
"14","share","Use"
"15","when you provide it to us","Collection"
"15","collect","Collection"
"15","collect","Collection"
"19","opting-out of personalized advertising here","Use"
"28","communication preferences","Use"
"28","e may also use technology (such as Facebook Custom Audiences) to deliver advertising to you","Use"
"28","e may also use technology (such as Facebook Custom Audiences) to deliver advertising to you","Use"
"29","we may use","Use"
"32","shared","Use"
"32","shared","Use"
"32","may be shared","Use"
"32","may be shared","Use"
"32","may be shared","Use"
"35","collect information about you, even if you don't use that functionality. For example, if a page within the online services contains a Facebook ""like"" button, Facebook may be able to collect data about your visit to that page, even if you don't click on the ""like"" button. To control this sharing","Both"
"36","share","Use"
"38","may receive","Use"
"38","may receive","Use"
"38","may receive","Use"
"40","If you do not want your personal information to be processed following such a transfer,","Both"
"40","If you do not want your personal information to be processed following such a transfer,","Both"
"46","our email newsletters or are receiving them from us and you don't want them anymore","First party use"
"46","on third party services based on your subscription data.","Third party use"
"46","email newsletters or are receiving them from us and you don't want them anymore","First party use"
"46","email newsletters or are receiving them from us and you don't want them anymore","First party use"
"47","targeted advertising","Unspecified"
"48","your choices for cookies and similar technology","First party collection"
"55","The effect of an opt-out will be to stop targeted advertising, but it will still allow the collection of usage data for certain purposes (e.g., research, analytics and internal online services operation purposes).","First party use"
"55","collection of usage data","First party collection"
"55","collection of usage data","First party collection"
"55","collection of usage data","First party collection"
"4","collection","First party collection"
"4","use","First party use"
"4","disclosure","Third party sharing/collection"
"36","Please see our Mobile Apps section for additional detail.","Unspecified"
"40","If you do not want your personal information to be processed following such a transfer","Unspecified"
"40","If you do not want your personal information to be processed following such a transfer","Unspecified"
"46","on third party services","Third party use"
"55","the use of Cookies and Other Technology","First party use"
