"3","the information that we collect","First party collection"
"3","how we use it","First party use"
"10","we ask for your name, email address, billing address, shipping address, telephone number, fax number and credit card information.","Collection"
"10","we ask for your name, email address, billing address, shipping address, telephone number, fax number and credit card information.","Collection"
"10","we ask for your name, email address, billing address, shipping address, telephone number, fax number and credit card information","Collection"
"11","we ask for your name, email address, phone number and mailing address","Collection"
"12","we collect","Collection"
"12","information you submit","Collection"
"13","you authorize us to transmit and store your information in our recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for job vacancies at Caribou Coffee.","First party collection"
"18","If you refuse cookies, you will not be able to open a shopping cart on the Site, and therefore will not be able to complete an order with us online.","First party use"
"18","You can choose to have your browser warn you every time a cookie is being sent to you or you can turn off your computer's ability to receive cookies.","First party collection"
"18","every time a cookie is being sent to you","First party use"
"20","information that we collect and share","Collection"
"20","For more information about DoubleClick, including information about how","Third party sharing/collection"
"20","collect and share","Third party sharing/collection"
"23","free eNewsletter, which contains product update information and a birthday greetings email on your birthday from Caribou Coffee","First party use"
"23","free eNewsletter, which contains product update information and a birthday greetings email on your birthday from Caribou Coffee","First party use"
"23","When registering your Caribou Gift Card, you may, sign up for a free eNewsletter, which contains product update information and a birthday greetings email on your birthday from Caribou Coffee.","First party use"
"24","you will receive an email confirmation notifying you that we have received your order.","First party use"
"28","use","Use"
"31","send our customers text messages regarding promotional offers or other news","First party use"
"31","send our customers text messages regarding promotional offers or other news","First party use"
"31","Caribou will only send our customers text messages regarding promotional offers or other news if a customer specifically grants us permission.","First party use"
"31","Caribou will only send our customers text messages","First party use"
"31","Caribou will only send our customers text messages","First party use"
