"5","we ever send you information by e-mail","First party use"
"7","you to not accept them","Collection"
"7","not accept them.","Collection"
"1","we need your e-mail address","Collection"
"1","request additional information","Collection"
"1","request additional information","Collection"
"1","collect","Collection"
"1","DISCLOSE YOUR PERSONAL INFORMATION","Collection"
"1","DISCLOSE YOUR PERSONAL INFORMATION TO ANY THIRD PARTY WITHOUT YOUR CONSENT, EXCEPT TO A THIRD PARTY AS REQUIRED TO HELP US DISTRIBUTE","Both"
"2","request non-personally identifiable information","Collection"
"2","request non-personally identifiable information","Collection"
"2","request non-personally identifiable information","Collection"
"2","request non-personally identifiable information","Collection"
"2","share this information with others","Collection"
"2","share this information with others","Collection"
"2","use","Use"
"2","use","Use"
"2","use","Use"
"5","we ever send you information","First party use"
"7","If you don't want cookies","Collection"
"7","If you don't want cookies","Collection"
