"5",", you signify your assent to SCEA's privacy policy.","Unspecified"
"8","information may be required","Collection"
"8","information may be required","Collection"
"8","information may be required","Collection"
"8","information may be required","Collection"
"9","collect","Collection"
"9","collect","Collection"
"13","log information","Collection"
"18","is to receive","Use"
"18","shared","Collection"
"18","saved and used","Both"
"18","have personal information shared with SCEA's third party partners","Third party sharing/collection"
"19","become members of our marketing program.","Use"
"19","rovide personally identifying information via our website for purposes of receiving marketing materials or who opt-in to receiving marketing materials when they register a Network Adaptor (Ethernet/Modem)(for PlayStation2) or PlayStation2 with integrated network and line connectors for online gaming through the Online Start-Up Disc, become members of our marketing program.","Both"
"22","used to send a one-time email notification on a consumer's behalf.","Use"
"24","aintains information obtained from consumers","Collection"
"24","aintains information obtained from consumers","Collection"
"30","If consumers do not want their personal information made available to others in these ways,","Third party sharing/collection"
"35","submit personally identifying information","Collection"
"5","your assent to SCEA's privacy policy","Unspecified"
