"1","collec","Collection"
"1","collec","Collection"
"1","collec","Collection"
"1","collec","Collection"
"1","collec","Collection"
"6","provide us","Collection"
"6","provide us","Collection"
"6","provide us","Collection"
"6","provide us","Collection"
"6","disclose anything","Both"
"20","opt out of these ads","Use"
"20","opt out of these ads","Use"
"21","share this information","Third party sharing/collection"
"25","gathering and sharing","Unspecified"
"25","gathering and sharing","Unspecified"
"25","gathering and sharing","Unspecified"
"26","limit how third parties use your email address","Third party use"
"1","if you choose to register on our website or participate in our offers and programs.","Collection"
"1","if you choose to register on our website or participate in our offers and programs.","Collection"
"1","if you choose to register on our website or participate in our offers and programs.","Collection"
"15","Without cookies or pixel tags though,","Unspecified"
"20","If you wish to stop receiving advertising messages from these third parties, please review the ""Your Choices"" section below.","Unspecified"
"20","you may be able to opt out of these ads by clicking on an icon in the ad o","Unspecified"
"20","through the privacy settings in each social media platform.","Unspecified"
"25","Our website allows you to opt out of certain information gathering and sharing, or to opt out of certain products, services or features. You can change your preferences for follow-up contacts by Kraft. If you're registered with our website, you can change the information you've provided to us in the ""Your Profile"" section of the site.","First party collection"
"25","Our website allows you to opt out of certain information gathering and sharing, or to opt out of certain products, services or features. You can change your preferences for follow-up contacts by Kraft. If you're registered with our website, you can change the information you've provided to us in the ""Your Profile"" section of the site.","First party collection"
"25","f you prefer, you can cancel your registration altogether.","First party collection"
"26","If you wish to limit how third parties use","Third party use"
"2","request certain information","Collection"
"2","request certain information","Collection"
"2","request certain information","Collection"
"4","you may provide us","First party collection"
"4","you may provide us","First party collection"
"5","for certain information","Collection"
"5","for certain information","Collection"
"6","submit information and content,","Collection"
"6","provide us with certain information","Collection"
"6","Kraft cannot control the actions of third parties who may view the website and use publicly-available information for their own purposes.","Both"
"8","ask you for information","Collection"
"8","ask you for information","Collection"
"8","provide additional information","First party collection"
"9","use","Both"
"10","send","First party use"
"11","submit certain personally-identifiable information","Collection"
"12","provide feedback","Collection"
"15","receiving third party advertiser cookies","Third party sharing/collection"
"17","collect","Collection"
"17","collect","Collection"
"17","collect","Collection"
"17","collect","Collection"
"17","information you provide","Collection"
"18","share your personally identifiable information with unaffiliated third parties","Collection"
"20","If you wish to stop receiving advertising messages from these third parties,","Use"
"20","If you wish to stop receiving advertising messages from these third parties,","Use"
"20","If you wish to stop receiving advertising messages from these third parties,","Use"
"20","If you wish to stop receiving advertising messages from these third parties,","Use"
"20","If you wish to stop receiving advertising messages from these third parties,","Use"
"20","If you wish to stop receiving advertising messages from these third parties,","Use"
"21","to such sharing.","Collection"
"23","you may opt out of us sharing with them.","Collection"
"25","gathering and sharing","Unspecified"
"25","gathering and sharing, or to opt out of certain products, services or features.","Unspecified"
"26","If you wish to limit how third parties use","Third party use"
