"3","In order to use this Web site","Dont use service/feature"
"3","It is optional","Opt-in"
"3","It is optional","Opt-in"
"6","Persistent cookies can be removed by following Internet browser help file directions.","Browser/device privacy controls"
"7","If users reject the cookie","Browser/device privacy controls"
"15","If users would like to opt-out of these emails, please see the Opt-out section.","Opt-out link"
"16","Out of respect for the privacy of our users we present the option to not receive these types of communications. Please see the Choice and Opt-out sections.","Opt-out link"
"17","Out of respect for our users privacy we provide a way to opt-out of these communications. Please see the Choice and Opt-out sections.","Opt-out link"
"24","Users will be notified via email prior to a change of ownership or control of their personal information. If as a result of the business transition, the users? personally identifiable information will be used in a manner different from that stated at the time of collection they will be given choice consistent with our notification of changes section.","Other"
"25","'opt-out'","Opt-out link"
"26","may opt-out of receiving these communications by replying to unsubscribe in the subject line in the email.","Other"
"29","completely voluntary and the user therefore has a choice whether or not to disclose this information","Opt-in"
"29","completely voluntary and the user therefore has a choice whether or not to disclose this information","Opt-in"
"29","completely voluntary and the user therefore has a choice whether or not to disclose this information","Opt-in"
"29","not shared with third parties unless we give prior notice and choice","Unspecified"
"29","not shared with third parties unless we give prior notice and choice","Unspecified"
"3","It is optional","Other"
"3","It is optional","Other"
"7","If users reject the cookie,","Other"
"7","The only drawback to this is that the user will be limited in some areas of our site.","Dont use service/feature"
"15","If users would like to opt-out of these emails, please see the Opt-out section.","Opt-out link"
"16","Please see the Choice and Opt-out sections.","Unspecified"
"17","Out of respect for our users privacy we provide a way to opt-out of these communications. Please see the Choice and Opt-out sections.","Unspecified"
"25","Our users are given the opportunity to 'opt-out'","Other"
"25","our order form has an 'opt-out' mechanism","Unspecified"
"26","may opt-out of receiving these communications by replying to unsubscribe in the subject line in the email.","Opt-out via contacting company"
"29","Participation in these surveys or contests is completely voluntary and the user therefore has a choice whether or not to disclose this information.","Opt-in"
"29","Participation in these surveys or contests is completely voluntary and the user therefore has a choice whether or not to disclose this information.","Opt-in"
"29","Participation in these surveys or contests is completely voluntary and the user therefore has a choice whether or not to disclose this information.","Opt-in"
"29","Participation in these surveys or contests is completely voluntary and the user therefore has a choice whether or not to disclose this information.","Opt-in"
"29","e give prior notice and choice","Unspecified"
"30","The friend may contact","Opt-out via contacting company"
"3","In order to use this Web site, a user must","Dont use service/feature"
"7","reject the cookie","Browser/device privacy controls"
"16","Please see the Choice and Opt-out sections","Opt-out link"
"17","opt-out of these communications","Opt-out link"
"25","'opt-out'","Opt-out link"
"26","replying to unsubscribe in the subject line in the email","Opt-out via contacting company"
"29","completely voluntary","Opt-in"
