"2","you choose to publicly post to or display on a Site. Please note that, as provided in our Terms of Service, you grant us a license to all publicly-posted content","Other"
"3",""" You are not required to provide information about yourself when you visit our Sites (other than automatically-collected information, as described below) and many of the features of our Sites can be used without registration.","Other"
"3",""" You are not required to provide information about yourself when you visit our Sites (other than automatically-collected information, as described below) and many of the features of our Sites can be used without registration.","Other"
"3",""" You are not required to provide information about yourself when you visit our Sites (other than automatically-collected information, as described below) and many of the features of our Sites can be used without registration.","Other"
"3",""" You are not required to provide information about yourself when you visit our Sites (other than automatically-collected information, as described below) and many of the features of our Sites can be used without registration.","Other"
"3",""" You are not required to provide information about yourself when you visit our Sites (other than automatically-collected information, as described below) and many of the features of our Sites can be used without registration.","Other"
"3","If you do elect to register on a Site, access various content or features, or contact us directly through our Sites, we may ask you for different types of information, including:","Dont use service/feature"
"3","If you do elect to register on a Site, access various content or features, or contact us directly through our Sites, we may ask you for different types of information, including:","Dont use service/feature"
"3","If you do elect to register on a Site, access various content or features, or contact us directly through our Sites, we may ask you for different types of information, including:","Dont use service/feature"
"7","With your consent","Opt-in"
"7","that you elect to participate in","Opt-in"
"7","With your consent when you request a third party service","Dont use service/feature"
"7","With your consent when you request a third party service","Dont use service/feature"
"9","When you submit a request for a price quote, you are consenting to have your personally identifiable information shared","Opt-in"
"9","You may review each of these companies privacy policies by clicking on the links shown on the Car Quotes Information Page.","Third-party privacy controls"
"9","When you submit a request for a price quote","Dont use service/feature"
"11","You may not opt out of these messages. If we are required by law to provide you with any notice, such as in the event of a security breach, you consent to receiving notice to the email address you have provided us.","Other"
"11","You may not opt out of these messages.","Other"
"12","If you sign up to receive any newsletters or updates from us through our Sites, or if you otherwise receive promotional communications from us, you will be able to opt-out of those communications by following the procedures described within the communication itself.","Opt-out link"
"12","You also may contact us to opt-out from promotional communications that we send.","Opt-out via contacting company"
"12","If you sign up to receive any newsletters","Opt-in"
"12","You also may contact us to opt-out","Opt-out via contacting company"
"15","Any information you share will be covered only by that partys own privacy policy.","Third-party privacy controls"
"19","Most web browsers automatically accept cookies, but they also offer a user the ability to block them. Doing so may prevent you from using some of the features of our Sites. Instructions for blocking cookies can be found in your browser help tab.","Browser/device privacy controls"
"19","Most web browsers automatically accept cookies, but they also offer a user the ability to block them. Doing so may prevent you from using some of the features of our Sites. Instructions for blocking cookies can be found in your browser help tab.","Browser/device privacy controls"
"19","You can also learn more about how cookies and other technologies are used to target advertisements to your browser at www.networkadvertising.org/understanding-online-advertising.","Opt-out link"
"19","Instructions for blocking cookies can be found in your browser help tab.","Browser/device privacy controls"
"20","If you would like more information about this practice and to know your choices about not having this information used by participating companies, please click here: www.networkadvertising.org/choices.","Opt-out link"
"20","know your choices about not having this information used by participating companies, please click here: www.networkadvertising.org/choices.","Opt-out link"
"20","know your choices about not having this information used by participating companies, please click here: www.networkadvertising.org/choices.","Opt-out link"
"21","You can also learn more about specific companies we allow to place cookies on our Sites and their policies regarding use of that data and advertising targeting here.","Other"
"26","opt out of the service may be found in the emails you receive.","Opt-out link"
"26","opt out","Opt-out link"
"27","only with the users informed consent unless otherwise specified in this privacy policy.","Opt-in"
"3","You are not required to provide information about yourself when you visit our Sites","Other"
"7","With your consent","Opt-in"
"7","With your consent","Opt-in"
"9","you are consenting","Dont use service/feature"
"12","you will be able to opt-out of those communications by following the procedures described within the communication itself","Other"
"12","You also may contact us to opt-out from promotional communications that we send.","Opt-out via contacting company"
"19","Most web browsers automatically accept cookies, but they also offer a user the ability to block them.","Browser/device privacy controls"
"26","opt out of the service may be found in the emails you receive.","Other"
"26","opt out of the service may be found in the emails you receive.","Other"
