"2","opt-in","Opt-in"
"2","opt-in.","Opt-in"
"3","Information you submit to our web site","Opt-in"
"3","Information you submit to our web site","Opt-in"
"3","""unsubscribe""","Other"
"4","A user may set his or her browser to disallow cookies.","Browser/device privacy controls"
"4","A user may set his or her browser to disallow cookies.","Browser/device privacy controls"
"4","A user may set his or her browser to disallow cookies.","Browser/device privacy controls"
"2","unless you explicitly opt-in.","Opt-in"
"3","you submit","Opt-in"
"3","Should you ""unsubscribe"" from a newsletter","Unspecified"
"4","may set his or her browser","Browser/device privacy controls"
"4","may set his or her browser","Browser/device privacy controls"
"4","may set his or her browser","Browser/device privacy controls"
"4","may set his or her browser","Browser/device privacy controls"
