"14","voluntary basis","Opt-in"
"14","voluntary basis","Opt-in"
"17","The information you allow us to access is affected by the privacy settings you establish at the SNS.","Third-party privacy controls"
"17","tion you allow us to access is","Third-party privacy controls"
"18","Depending on your account settings","Third-party privacy controls"
"23","You may not opt out of these communications, which are not promotional in nature. If you do not wish to receive them, you have the option to deactivate your account.","Other"
"26","refusal","Dont use service/feature"
"26","our refusal to submit personal information may limit your ability to participate in some activities, such as sweepstakes or the use of certain Online Services. However, as described above, regardless of registration we may nonetheless publish gameplay boards and multiplayer match records that contain certain information as a result of your use of the products, such as your player ID.","Dont use service/feature"
"28","You can disable cookies or set your browser to alert you when cookies are being sent to your computer; however, disabling cookies may affect your ability to use certain Online Services.","Browser/device privacy controls"
"28","You can disable cookies or set your browser to alert you when cookies are being sent to your computer","Browser/device privacy controls"
"28","You can disable cookies or set your browser to alert you when cookies are being sent to your computer;","Browser/device privacy controls"
"29","clear flash cookies already on your device by setting the Flash local storage setting to zero. You may also prevent Flash cookies from being placed by adjusting your preferences in the Macromedia Website Privacy Settings Panel at www.macromedia.com.","Third-party privacy controls"
"29","You may also prevent Flash cookies from being placed by adjusting your preferences in the Macromedia Website Privacy Settings Panel at www.macromedia.com.","Third-party privacy controls"
"29","You can clear flash cookies already on your device by setting the Flash local storage setting to zero. You may also prevent Flash cookies from being placed by adjusting your preferences in the Macromedia Website Privacy Settings Panel at www.macromedia.com.","Third-party privacy controls"
"34","opt out","Third-party privacy controls"
"34","Please click on the links below to learn more about these vendors, their privacy policies, and the ability to opt out of their tracking programs.","Third-party privacy controls"
"35","opt-out","Third-party privacy controls"
"35","opt-out","Third-party privacy controls"
"35","Additional information about individual opt-out programs is available on the World Privacy Forum website at http://www.worldprivacyforum.org. In addition to visiting the websites of each of the vendors listed above, you may opt out of certain targeted advertising by multiple third-party advertising networks at one time if they belong to the Network Advertising Initiative or the Digital Advertising Alliance. Visit the Network Advertising Initiative's website at http://www.networkadvertising.org/managing/opt_out.asp to select the applicable networks.","Third-party privacy controls"
"35","dditional information about individual opt-out programs is available on the World Privacy Forum website at http://www.worldprivacyforum.org. In addition to visiting the websites of each of the vendors listed above, you may opt out of certain targeted advertising by multiple third-party advertising networks at one time if they belong to the Network Advertising Initiative or the Digital Advertising Alliance. Visit the Network Advertising Initiative's website at http://www.networkadvertising.org/managing/opt_out.asp to select the applicable networks.","Third-party privacy controls"
"37","conditional","Dont use service/feature"
"39","unless you provide that information voluntarily for such use.","Opt-in"
"39","Online gaming and Social Networking Services are by their very nature open communities where gameplay information including user name, game activity, and leaderboard rankings are publicly posted for other people to see. Therefore, the Company will automatically post certain information, such as your Screen Name or ID and gameplay statistics, within the game, on Social Networking Services, on Online Services, or on specialized game websites. However, we will not post information that we know directly and clearly identifies you (such as your real name or email address) unless you provide that information voluntarily for such use. As with other gameplay information services, your gameplay, leaderboards, and multiplayer match information may appear nested in our games or third-party webpages via frames or widgets.","Opt-in"
"41","Some of our Online Services allow you to link your account to SNS services like Facebook and Twitter","Dont use service/feature"
"46","personalize the collection, use and/or display of your data via that service.","Unspecified"
"46","If you are a member of an Online Service, you may use that services account and privacy settings to personalize the collection, use and/or display of your data via that service.","First-party privacy controls"
"47","opt-out by","Opt-out link"
"47","In addition to the methods below, along with every communication sent to you, the Company gives you the opportunity to discontinue receiving future communications.","Opt-out via contacting company"
"47","f you do not want to receive certain communications such as newsletters or promotional offers, you may decline consent at the time your personal information is collected","Opt-out via contacting company"
"47","opt-out by","Unspecified"
"48","unsubscribe to Rockstar Games mailing lists","First-party privacy controls"
"48","unsubscribe links at the bottom of any Rockstar Games email message.","Opt-out link"
"48","If for any reason you wish to unsubscribe to Rockstar Games mailing lists please log in to manage your account or use the unsubscribe links at the bottom of any Rockstar Games email message.","Opt-out link"
"48","If for any reason you wish to unsubscribe to Rockstar Games mailing lists please log in to manage your account or use the unsubscribe links at the bottom of any Rocksta","Opt-out link"
"49","opt out","Opt-out link"
"49","If you do not want your gameplay information to publicly appear via the Rockstar Games Social Club, then you should visit www.rockstargames.com/socialclub/privacy/opt and follow the instructions to opt out of our gameplay information services by masking your user ID.","Opt-out link"
"49","f you do not want your gameplay information to publicly appear via the Rockstar Games Social Club, then you should visit www.rockstargames.com/socialclub/privacy/opt and follow the instructions to opt out of our gameplay information services by masking your user ID.","Opt-out link"
