"2","By using the Site","Dont use service/feature"
"2","By using the Site","Dont use service/feature"
"2","By using the Site, you consent to the collection and use","Other"
"2","By using the Site, you consent to the collection and use","Other"
"3","when you register on the Site","Opt-in"
"4","view our Site without providing such information","Dont use service/feature"
"4","view our Site without providing such information","Dont use service/feature"
"4","view our Site without providing such information","Dont use service/feature"
"5","sole discretion of the Post-Gazette","Dont use service/feature"
"6","In order to comment on articles appearing on the Site you may only do so through Facebook,","Dont use service/feature"
"6","In order to comment on articles appearing on the Site you may only do so through Facebook,","Dont use service/feature"
"6","by first logging onto Facebook (using your Facebook user name and password).","Opt-in"
"6","by first logging onto Facebook (using your Facebook user name and password).","Opt-in"
"7","we may gather usage data and track IP addresses from such users without their individual consent","Unspecified"
"7","we may gather usage data and track IP addresses from such users without their individual consent","Unspecified"
"9","Please refer to the ""Do we use 'cookies'?"" section below for information about cookies and how we use them.","Unspecified"
"10","subscribing to our digital subscription","Dont use service/feature"
"10","subscribing to our digital subscription","Dont use service/feature"
"10","subscribing to our digital subscription","Dont use service/feature"
"11","information we collect from you","Unspecified"
"11","information we collect from you","Unspecified"
"11","information we collect from you","Unspecified"
"12","If you respond with information","Dont use service/feature"
"12","If you respond with information","Dont use service/feature"
"12","If you respond with information","Dont use service/feature"
"12","If you respond with information","Dont use service/feature"
"15","Information provided to the Post-Gazette as part of the ordering process","Dont use service/feature"
"17","opt out of such advertising by going to the Network Advertising Initiative's consumer opt-out page located at http://www.networkadvertising.org/managing/opt_out.asp","Third-party privacy controls"
"17","you may opt out of such advertising by going to the Network Advertising Initiative's consumer opt-out page located at http://www.networkadvertising.org/managing/opt_out.asp.","Opt-out link"
"17","you may opt out of such advertising by going to the Network Advertising Initiative's consumer opt-out page located at http://www.networkadvertising.org/managing/opt_out.asp.","Opt-out link"
"17","If you do not wish to receive such advertising you may opt out of such advertising by going to the Network Advertising Initiative's consumer opt-out page located at http://www.networkadvertising.org/managing/opt_out.asp.","Opt-out link"
"17","you may opt out of such advertising by going to the Network Advertising Initiative's consumer opt-out page located at http://www.networkadvertising.org/managing/opt_out.asp.","Opt-out link"
"19","(if you allow)","Browser/device privacy controls"
"19","through your Web browser (if you allow)","Browser/device privacy controls"
"19","through your Web browser (if you allow)","Browser/device privacy controls"
"20","If you would like more information about this practice and to know your choices about not having this information used by this company, please click here.","Unspecified"
"21","choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies","First-party privacy controls"
"21","You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies. You do this through your browser","Browser/device privacy controls"
"21","You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies. You do this through your browser (e.g. Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, or Apple Safari) settings. Each browser is a little different, so look at your browser Help menu to learn the correct way to modify your cookies.","Browser/device privacy controls"
