"8","you have subscribed to a service","Dont use service/feature"
"9","hen you order products or services","Dont use service/feature"
"10","when posting to messages boards or other forums","Dont use service/feature"
"13","If you don't want a social network to collect the information about you as described above, or you don't want to a social network to share it with us and other third parties, please review the privacy settings and instructions of the applicable social network before you visit and use our online services.","Third-party privacy controls"
"13","please review the privacy settings and instructions of the applicable social network before you visit and use our online services.","Third-party privacy controls"
"13","please review the privacy settings and instructions of the applicable social network before you visit and use our online services.","Third-party privacy controls"
"13","please review the privacy settings and instructions of the applicable social network before you visit and use our online services.","Third-party privacy controls"
"13","please review the privacy settings and instructions of the applicable social network before you visit and use our online services.","Third-party privacy controls"
"13","please review the privacy settings and instructions of the applicable social network before you visit and use our online services.","Third-party privacy controls"
"14","Please see our Cookies and Tracking Technologies page for information, including your choices in relation to these technologies.","First-party privacy controls"
"14","for two years or until you withdraw your consent.","Other"
"14","The information we have access to from the third-party services varies by service and is controlled by your privacy settings on that service and by your consent.","Third-party privacy controls"
"14","controlled by your privacy settings on that service and by your consent","Third-party privacy controls"
"14","Please see our Cookies and Tracking Technologies page for information, including your choices in relation to these technologies.","Unspecified"
"15","Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.","First-party privacy controls"
"15","Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.","First-party privacy controls"
"15","Directly from you, when you provide it to us","Dont use service/feature"
"15","Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.","Unspecified"
"15","Please see our Cookies and Tracking Technologies, and Mobile Apps pages for further information, including your choices in relation to the use of these technologies.","Unspecified"
"19","(see options for opting-out of personalized advertising here);","Opt-out link"
"19","(see options for opting-out of personalized advertising here);","Opt-out link"
"19","see options for opting-out of personalized advertising here);","Other"
"28","in accordance with your communication preferences.","First-party privacy controls"
"28","Subject to legal restrictions (including consent where necessary)","Other"
"28","Subject to legal restrictions (including consent where necessary)","Other"
"28","Please see Your Rights and Choices for further information about how you can control these updates;","First-party privacy controls"
"28","in accordance with your communication preferences.","First-party privacy controls"
"28","(including consent where necessary","Opt-in"
"28","(including consent where necessary","Opt-in"
"29","if you use an NBCUniversal e-commerce website to send gifts,","Dont use service/feature"
"32","Note that you may be registered for different accounts with different NBCUniversal group companies or in different areas of our business. Please visit the account settings page of the applicable online service if you wish you ""de-register"" from your account or for more information, or e-mail privacy@nbcuni.com.","Opt-out via contacting company"
"32","Note that you may be registered for different accounts with different NBCUniversal group companies or in different areas of our business. Please visit the account settings page of the applicable online service if you wish you ""de-register"" from your account","Opt-out link"
"32","For information about this and your choices see Cookies and Tracking Technologies.","First-party privacy controls"
"32","For information about this and your choices see Cookies and Tracking Technologies.","First-party privacy controls"
"32","For information about this and your choices see Cookies and Tracking Technologies.","First-party privacy controls"
"32","Please visit the account settings page of the applicable online service if you wish you ""de-register"" from your account","First-party privacy controls"
"32","Please visit the account settings page of the applicable online service if you wish you ""de-register"" from your account","First-party privacy controls"
"32","For information about this and your choices see Cookies and Tracking Technologies.","Other"
"32","For information about this and your choices see Cookies and Tracking Technologies.","Other"
"32","For information about this and your choices see Cookies and Tracking Technologies.","Other"
