"3","adjusting your Internet browser security settings to refuse cookies","Browser/device privacy controls"
"8","If you subscribe","Opt-in"
"10","You can always choose not to submit your personal information on the Washingtonian.com website","Other"
"10","you can unsubscribe at any time. We will always include an opt-out web link or reply e-mail address in each e-mail message.","Opt-out link"
"15","""opt-out"" of receiving cookies","Opt-out link"
"3","You may choose not to provide such information by adjusting your Internet browser security settings to refuse cookies","Browser/device privacy controls"
"8","If you register to receive e-mail newsletters on the site,","Other"
"8","If you subscribe to Washingtonian magazine","Dont use service/feature"
"10","You can always choose not to submit your personal information on the Washingtonian.com website.","Dont use service/feature"
"10","you can unsubscribe at any time. We will always include an opt-out web link or reply e-mail address in each e-mail message.","Opt-out link"
"11","please contact us","Opt-out via contacting company"
"15","and how to ""opt-out"" of receiving cookies,","Unspecified"
"3","choose not to provide such information by adjusting your Internet browser security settings to refuse cookies.","Browser/device privacy controls"
"10","choose not to submit","Opt-out link"
"15","""opt-out"" of receiving cookies, please visit http://www.doubleclick.net/us/corporate/privacy. For more information about Google's privacy practices, please visit http://www.google.com/privacy.html.","Third-party privacy controls"
