"4","permissions","Opt-in"
"4","opportunity to object,","Opt-out via contacting company"
"4","general written consent,","Opt-in"
"4","opportunity to object,"" w","Opt-out via contacting company"
"4","An ""opportunity to object,"" which Kaleida Health must provide to you before we may use or disclose your health information for certain purposes. In these situations, you will have an opportunity to object to the use or disclosure of your health information in person, over the phone, or in writing.","Opt-out via contacting company"
"4","An ""opportunity to object,"" which Kaleida Health must provide to you before we may use or disclose your health information for certain purposes. In these situations, you will have an opportunity to object to the use or disclosure of your health information in person, over the phone, or in writing.","Opt-out via contacting company"
"4","A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information","Opt-in"
"4","A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information","Opt-in"
"4","A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information in order to treat you, obtain payment for that treatment, and conduct our business operations. Kaleida Health must obtain this general written consent the first time we provide you with treatment or services. This general written consent is a broad permission that does not have to be repeated each time we provide treatment or services to you.","Opt-in"
"4","A ""general written consent,"" which Kaleida Health must obtain from you in order to use and disclose your health information in order to treat you, obtain payment for that treatment, and conduct our business operations. Kaleida Health must obtain this general written consent the first time we provide you with treatment or services. This general written consent is a broad permission that does not have to be repeated each time we provide treatment or services to you.","Opt-in"
"5","obtain your written authorization before using your health information or sharing it with others outside the hospital.","Opt-in"
"5","generally obtain your written authorization before using your health information","Opt-in"
"5","you may revoke that written authorization at any time, except to the extent that we have already relied upon it. To revoke a written authorization, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, NY 14210 to revoke such authorization.","Opt-out via contacting company"
"5","you may revoke that written authorization at any time, except to the extent that we have already relied upon it. To revoke a written authorization, please write to the Kaleida Health Privacy Officer, 726 Exchange Street Suite 200, Buffalo, NY 14210 to revoke such authorization.","Opt-out via contacting company"
"5","Requirement For Written Authorization","Opt-in"
"5","enerally obtain your written authorization","Opt-in"
"7","whether you have any objection to including information about you in our Patient Directory","Opt-out via contacting company"
"7","whether you have any objection to including information about you in our Patient Directory","Opt-out via contacting company"
"7","If you are an inpatient, Kaleida Health will ask you whether you have any objection to including information about you in our Patient Directory or sharing information about your health with your friends and family involved in your care.","Opt-in"
"7","If you are an inpatient, Kaleida Health will ask you whether you have any objection to including information about you in our Patient Directory or sharing information about your health with your friends and family involved in your care.","Opt-in"
"9","Kaleida Health may also use and disclose ""partially de-identified"" information if the person who will receive the information agrees in writing to protect the privacy of the information. For more information, please see page 5 of this notice","Opt-in"
"9","Kaleida Health may also use and disclose ""partially de-identified"" information if the person who will receive the information agrees in writing to protect the privacy of the information. For more information, please see page 5 of this notice","Opt-in"
"10","without your written authorization.","Opt-in"
"10","t your written authorization.","Opt-in"
"10","Other uses and disclosures of your health information not described in this Notice will be made only with your written authorization. For example, we will not sell your health information or market a party's services or products to you if we are paid by that party to do so, without your written authorization.","Opt-in"
"10","Other uses and disclosures of your health information not described in this Notice will be made only with your written authorization. For example, we will not sell your health information or market a party's services or products to you if we are paid by that party to do so, without your written authorization.","Opt-in"
"10","products to you if we are paid by that party to do so, without your written authorization.","Opt-in"
"17","With your general written consent","Opt-in"
"17","With your general written consent","Opt-in"
"17","With your general written consent","Opt-in"
"18","Treatment","Opt-in"
"22","opt out","Unspecified"
