"5","we will provide you with an e-mail address by which you may request no future notices.","Opt-out via contacting company"
"7","your Web browser likely includes an option that allows you to not accept them.","Browser/device privacy controls"
"7","your Web browser likely includes an option that allows you to not accept them.","Browser/device privacy controls"
"1","CONSENT","Opt-in"
"2","optional","Opt-in"
"5","may request no future notices","Opt-out link"
"7","Web browser likely includes an option that allows you to not accept them","Browser/device privacy controls"
"1","we need","Unspecified"
"1","request","Opt-in"
"1","request","Opt-in"
"1","expressly provide","Opt-in"
"1","YOUR CONSENT","Opt-in"
"1","WITHOUT YOUR CONSENT","Other"
"2","request","Opt-in"
"2","request","Opt-in"
"2","request","Opt-in"
"2","request","Opt-in"
"2","We may","Unspecified"
"2","We may","Unspecified"
"2","we reserve the right","Other"
"2","we reserve the right","Other"
"2","we reserve the right","Other"
"5","e-mail address by which you may request","Other"
"7","your Web browser likely includes an option that allows you to not accept them.","Other"
"7","your Web browser likely includes an option","Other"
